Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	122.70026	36.336212	275.95703	78.40808	259.02805	12.616356	285.96045	242.49489	24.436274	47.1	5000	6.530266	47.473488	108.644745	-103.07936	6.5318885	47.474434	108.192635	-97.03624	4.2221475	53.438816	115.86159	-152.51016	21.346928	112.54946	13372.16	-18.043818	3.788027	3.7306592	197.03183	20.65714740753174
2	1.2	0.2	119.592285	32.63232	264.10312	78.353195	192.36327	10.844503	208.24442	174.87814	23.744076	36.1	10000	148.29816	75.349815	330.1993	-47.2573	148.29945	75.3521	333.63696	-54.356754	159.35512	74.36717	338.8506	-46.04447	1.9458518	4.754996	26.61873	-15.717792	9.84759	9.492344	23.656023	40.67946219444275
3	1.2	0.2	323.49603	86.82591	584.38446	202.51064	251.51042	14.2284355	277.4943	235.99677	61.753086	46.6	15000	275.4989	111.40873	418.37958	-196.93196	275.50204	111.40752	423.76523	-177.2785	288.4255	102.86432	417.05704	-211.81425	3.4095552	8.435321	44.109116	-16.731663	42.725136	42.51698	64.856804	64.13935685157776
4	1.2	0.2	336.65536	71.54719	569.27924	201.93568	249.79562	17.952013	265.62793	214.82521	64.97369	55.4	20000	269.42862	122.721016	421.40222	-92.87382	269.42868	122.73386	422.522	-85.549126	277.31558	117.46591	417.33826	-90.772835	0.78186387	9.161905	60.744247	-17.175138	36.49775	35.312042	53.991844	87.44859099388123
5	1.2	0.2	379.3208	98.19212	753.198	230.82309	323.05838	42.06857	408.76797	246.56044	76.55385	70.5	25000	232.05717	120.58521	397.6582	-113.008934	232.05753	120.59722	404.24564	-106.3764	237.41475	118.26518	402.8014	-133.49411	-0.6910325	7.5397577	51.07526	-17.437542	29.421787	28.714304	44.477768	111.29947519302368
6	1.2	0.2	390.48035	101.75624	722.75275	227.79007	326.06503	40.38442	387.20032	270.8186	78.765625	72.2	30000	202.00484	112.775925	376.63477	-79.74644	202.00449	112.78057	376.65356	-93.97109	206.39165	111.99229	379.2162	-85.89797	-0.96992004	6.1523776	127.21859	-16.880936	23.280233	22.978807	35.54961	135.09202933311462
7	1.2	0.2	368.42584	66.27589	590.37384	234.76662	364.1398	61.00086	499.33923	297.84637	76.76923	76.6	35000	189.41994	106.76187	362.8357	-58.171257	189.41849	106.76791	362.55713	-63.158012	193.1049	106.49805	358.82156	-58.207153	-1.7706056	5.369665	43.48613	-17.597631	21.355965	20.907993	31.310562	158.93880605697632
8	1.2	0.2	483.57126	129.03398	936.23706	299.34558	457.61636	56.83899	593.2709	375.7992	97.333336	93.4	40000	180.77911	102.69185	351.1511	-38.879875	180.77951	102.692375	349.75793	-47.974995	183.8436	102.55867	349.03018	-40.925972	-2.856453	5.0233984	31.846989	-17.605824	18.599442	18.43026	27.31736	182.86473560333252
9	1.2	0.2	463.33295	120.8692	1001.30084	305.2719	445.45035	46.46395	514.9995	373.30865	92.833336	93.4	45000	174.09825	96.04917	331.60632	-23.891535	174.09904	96.049675	331.4173	-22.167542	176.72832	95.87435	331.4257	-38.400436	-3.6458178	4.72721	29.02377	-18.48354	15.7792225	15.574957	22.830643	207.04770827293396
10	1.2	0.2	489.94287	109.00575	739.78314	308.6627	438.9375	58.5672	527.47046	357.48163	97.65385	94.1	50000	173.42764	91.00708	323.60498	-22.047812	173.4276	91.01128	325.2495	-20.204363	175.76952	90.73397	322.5623	-41.51946	-4.402725	4.385724	26.45435	-17.582518	13.320044	13.105536	19.30065	231.52201914787292
11	1.2	0.2	513.0843	98.52316	746.0339	329.49414	593.26215	213.44376	1147.7389	369.82605	102.916664	124.9	55000	177.54945	89.862724	319.44675	-49.35345	177.54906	89.86547	321.67578	-28.21267	179.7909	89.51152	316.55124	-39.54269	-4.7426796	4.3282275	32.009426	-17.967411	11.183485	11.003825	16.51445	255.83983397483826
12	1.2	0.2	506.4833	96.200035	855.2135	335.05872	486.87543	77.8865	589.2356	354.21194	101.0	93.5	60000	182.2998	92.07798	327.83145	-62.685707	182.29994	92.079834	326.4024	-58.525333	184.46063	91.728065	324.09744	-30.831392	-4.891455	4.314022	26.833765	-18.130308	10.661131	10.499381	15.7469	280.289977312088
13	1.2	0.2	497.10425	92.09528	817.95636	322.1013	446.42255	25.891275	500.69003	414.47107	99.64	83.5	65000	186.22786	94.64682	331.07956	-37.879185	186.22713	94.64898	333.36426	-33.33367	188.29532	94.32914	331.8314	-56.919563	-4.981455	4.1825495	29.558199	-17.479082	10.873016	10.793047	15.736573	304.32344675064087
14	1.2	0.2	509.76105	110.60729	929.7581	312.6306	476.6998	65.31438	576.3785	399.9626	99.98	90.9	70000	188.76384	96.27958	339.2927	-22.974636	188.76378	96.28327	338.64835	-25.920988	190.75671	95.97952	335.0358	-32.52528	-4.989673	4.183919	26.845423	-17.786823	11.476587	11.236186	16.133236	328.4972999095917
15	1.2	0.2	492.9396	104.6409	798.91656	296.9423	607.66223	106.38438	816.62366	511.14572	97.17647	114.1	75000	190.30783	97.14421	339.68228	-24.558693	190.30763	97.14681	340.14832	-21.780058	192.16899	96.89026	338.83362	-39.696217	-4.9761753	4.1339545	30.875631	-18.458235	11.283879	11.158742	15.664598	352.7194848060608
16	1.2	0.2	509.6822	83.98368	750.0454	376.11627	487.1669	82.56666	635.9034	392.50366	99.117645	94.1	80000	191.4881	96.9495	343.64764	-29.176716	191.48724	96.95096	343.02994	-19.501865	193.28375	96.72077	341.63675	-28.600828	-5.1192265	4.1201534	34.13251	-18.182375	11.360002	11.303141	15.296048	377.2545359134674
17	1.2	0.2	523.644	109.51386	853.4105	354.48706	582.3663	77.83162	742.35956	486.4619	101.591835	117.1	85000	191.96078	96.737015	342.1582	-22.224463	191.96033	96.740005	344.0446	-49.232475	193.67712	96.49345	340.35086	-28.04248	-5.211522	4.020605	32.273586	-17.52093	11.221058	11.112352	14.930645	401.8577084541321
18	1.2	0.2	550.45197	123.81784	872.401	318.77246	533.8571	55.7907	679.8923	486.5154	109.521736	102.3	90000	193.8841	96.964424	343.8583	-23.10537	193.88359	96.9663	344.11432	-23.702059	195.52774	96.714905	342.34592	-35.026276	-5.222894	3.9324875	37.002113	-16.314083	11.009223	11.002776	14.389225	426.4530963897705
19	1.2	0.2	558.3363	126.44891	968.3335	365.75385	523.506	63.283546	630.6926	429.12967	109.51111	108.0	95000	196.35255	97.71621	344.7216	-34.744865	196.35118	97.71771	346.00992	-22.292513	198.00377	97.47659	343.74127	-37.40354	-5.005209	4.0315657	34.12846	-18.724663	11.099975	11.104241	14.388212	450.65988874435425
20	1.2	0.2	566.08167	95.28135	838.1679	389.889	575.3082	98.34909	781.38885	449.76123	112.0	113.4	100000	198.48405	98.622246	349.2665	-43.5924	198.4839	98.62313	348.7887	-27.589231	200.0994	98.36546	348.30322	-49.06185	-5.0911207	4.0316234	33.87456	-18.60946	11.014325	11.023822	13.7972	475.494425535202
21	1.2	0.2	560.736	114.78015	862.4719	377.26166	505.85416	41.532215	573.0989	424.77118	109.95556	93.5	105000	200.92303	99.486015	351.47437	-46.183105	200.92213	99.48615	350.8728	-22.315315	202.50346	99.231316	349.70874	-40.024162	-5.072425	4.0832295	35.67616	-18.31227	11.11324	11.082909	13.861429	499.8137881755829
22	1.2	0.2	535.20605	121.35432	915.3857	296.335	579.6208	40.481552	648.4671	513.2141	101.14	106.1	110000	202.66374	100.18491	351.84955	-31.945314	202.6627	100.18632	352.36502	-28.963858	204.20952	99.91876	351.56058	-45.3093	-5.0913053	4.049817	32.731995	-16.814919	11.161326	11.121073	13.637909	524.628458738327
23	1.2	0.2	553.4115	105.60703	869.1238	352.40054	534.4362	39.30497	603.73114	463.02783	107.67391	105.7	115000	204.38054	100.65866	355.23102	-42.91643	204.38005	100.65927	355.731	-31.263042	205.87793	100.39357	354.5493	-30.863848	-5.1233068	4.077929	35.76843	-16.935654	11.195592	11.196075	13.436432	549.1856257915497
24	1.2	0.2	664.6815	171.12575	1178.9998	383.2603	489.1209	48.759098	600.55554	429.92154	132.05263	91.6	120000	206.24611	101.3108	355.79324	-44.290024	206.24556	101.310616	355.80194	-34.880817	207.6933	101.05302	355.21396	-40.318375	-5.092979	4.0915985	44.265835	-18.039415	11.494166	11.531307	13.565645	573.985732793808
25	1.2	0.2	574.64136	149.06415	1045.5529	368.52856	509.10757	29.346998	560.19934	461.65326	113.72727	96.4	125000	207.55075	102.46765	359.27014	-52.06729	207.55013	102.468506	360.2038	-31.346186	209.01187	102.242714	357.66916	-43.12176	-4.806679	4.145154	32.037663	-16.733372	11.832779	11.890385	13.536987	598.594021320343
