Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	118.59179	32.460022	246.88567	83.13102	257.49023	7.6183696	273.37933	246.27751	23.606634	47.0	5000	-1.315004	52.516823	97.11671	-123.535255	-1.3141025	52.51677	96.53418	-125.32951	-4.3136325	59.398785	100.66735	-177.00084	28.83824	167.93489	17688.934	-17.299603	5.0439553	5.032923	485.53653	19.09519910812378
2	1.2	0.2	123.101974	34.818233	235.62042	78.56569	204.43648	5.127481	211.9217	194.37769	24.45366	37.8	10000	135.13055	68.323524	304.45126	-41.110275	135.13039	68.326096	302.59976	-43.64554	144.85553	67.58014	315.3395	-39.86981	1.0359929	5.388294	31.733173	-16.832298	7.9682403	7.949725	19.510643	37.98133325576782
3	1.2	0.2	313.33044	96.30025	577.52356	195.32613	363.08667	25.98062	399.53943	319.7497	59.638554	67.3	15000	259.80374	102.00341	389.8119	-68.9222	259.80505	102.00419	388.17105	-69.52959	271.97977	93.09778	391.92514	-108.75651	2.539892	8.100846	45.538403	-17.568521	35.160885	35.468357	52.484444	60.04443359375
4	1.2	0.2	350.998	94.74143	664.05927	205.03183	476.47568	61.060333	591.53546	390.3179	68.76712	101.5	20000	268.0949	112.34194	429.2138	-60.65497	268.093	112.353874	426.18317	-68.454254	276.23682	106.18494	417.16397	-67.987076	0.9735976	8.297537	43.196224	-17.194826	30.364492	29.475843	44.503643	82.9228105545044
5	1.2	0.2	422.5771	101.47649	729.138	242.64322	389.9627	54.617863	489.92346	313.73608	86.206894	83.1	25000	248.38576	117.86322	431.9995	-225.32812	248.38501	117.88014	424.7614	-204.14436	254.04303	114.73787	419.92053	-227.79904	-0.2600018	7.020958	43.94731	-17.538044	33.15389	32.199787	46.95348	105.5330970287323
6	1.2	0.2	375.684	80.30795	594.003	246.06512	379.93805	80.71324	604.47833	308.48688	74.55224	77.9	30000	216.11299	117.28791	393.9355	-108.01728	216.11322	117.29981	387.55292	-113.47104	220.43266	115.908485	386.2056	-136.57323	-1.5341295	6.0960455	46.5422	-19.025663	29.783258	28.520758	41.35205	127.73701119422913
7	1.2	0.2	443.53708	115.860756	802.03357	244.32307	416.15878	38.67071	473.74323	358.35327	92.40741	84.5	35000	194.7278	108.72204	365.8328	-74.7819	194.72989	108.72653	366.00613	-70.18297	198.34909	108.148285	361.60352	-68.50204	-1.9314996	5.5995774	79.58457	-17.717106	23.068571	21.68935	32.631546	150.31860041618347
8	1.2	0.2	441.38702	111.02793	872.9681	278.78558	407.03073	99.75244	597.60693	296.55878	88.28571	80.5	40000	186.43253	103.09719	350.36176	-59.397423	186.43439	103.09938	348.41855	-51.22813	189.71214	102.71969	343.90933	-54.901386	-2.1342764	5.145198	33.424347	-17.261162	19.027613	18.179178	27.707174	172.74420022964478
9	1.2	0.2	499.99744	116.3231	948.90424	346.01587	484.62006	97.50661	646.8743	362.61267	100.4	100.4	45000	183.33482	98.589905	339.4286	-39.139664	183.33612	98.5923	338.34952	-33.31485	186.07649	98.18482	339.3964	-41.029305	-2.9906461	4.904178	34.02001	-18.294296	15.661406	14.882692	22.31668	195.52431416511536
10	1.2	0.2	496.59952	93.111916	816.5492	306.48935	501.73633	53.39046	574.91064	404.85916	98.94118	100.8	50000	182.72655	95.151146	332.8137	-37.555687	182.7284	95.15326	331.45316	-28.235664	185.22273	94.6788	329.27774	-63.421665	-3.295062	4.918582	38.22286	-17.696981	13.822943	13.1820965	19.76186	218.49602103233337
