Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	128.21497	41.409206	287.1718	78.41852	276.42682	11.678837	307.15686	263.85275	25.610256	50.2	5000	-0.45891458	52.64983	101.81115	-120.11639	-0.45919165	52.652283	103.19039	-117.71134	-3.1370502	58.95109	103.89624	-190.75854	28.739925	197.32864	18617.637	-18.47571	4.801939	4.6673665	712.9854	19.3887882232666
2	1.2	0.2	119.30094	31.37533	251.61761	78.58823	242.09225	6.575072	255.38037	232.48584	23.761906	44.7	10000	145.53409	72.36505	327.74088	-108.019646	145.53246	72.37211	326.9768	-135.47029	156.07982	71.612114	335.08026	-134.7	1.6078746	5.7588286	32.817192	-16.113646	10.3431425	10.274884	24.538395	38.193897008895874
3	1.2	0.2	246.38397	76.16711	475.27393	91.04518	285.07047	20.887854	313.03452	250.48709	49.475246	53.7	15000	267.7713	115.7442	425.75934	-139.96123	267.7687	115.768524	422.71558	-151.52084	279.98712	109.217064	417.24673	-147.55028	3.4361928	8.003264	64.50139	-17.711397	49.002995	47.76054	75.74738	58.91919422149658
4	1.2	0.2	307.1021	77.019485	582.873	153.91151	329.71942	31.200247	405.51526	280.85214	58.046513	75.0	20000	248.70259	127.41475	419.7436	-81.061134	248.70132	127.42953	423.14093	-61.36938	256.60037	124.05105	418.75824	-80.21892	1.2121046	7.704838	95.263145	-18.899414	39.04432	37.82461	58.96161	80.17768120765686
5	1.2	0.2	368.92633	71.190735	587.4617	195.43002	398.68216	23.46702	439.40884	366.73407	74.283585	74.3	25000	229.48985	126.17137	417.22305	-116.14652	229.48703	126.181915	425.53955	-134.46194	235.72481	124.37719	419.4363	-109.75297	0.78832823	6.3701296	67.96121	-17.113022	34.698826	33.616512	52.75194	101.28227400779724
6	1.2	0.2	432.97092	102.80259	728.8235	268.79214	506.44232	85.552086	681.5943	383.96085	85.28814	104.4	30000	209.50859	119.682816	389.72397	-92.15916	209.50674	119.686195	385.79382	-84.34939	214.4234	118.76791	386.62247	-99.659164	-1.0866499	5.92846	103.168205	-16.845064	25.957886	25.333723	40.365414	122.60554814338684
7	1.2	0.2	443.5364	97.19031	810.88654	294.12265	350.41595	32.657207	398.66925	304.05148	87.69643	64.3	35000	192.70435	111.74026	374.31976	-51.03385	192.7014	111.73884	372.77795	-64.78209	196.7291	111.505066	368.51764	-91.905754	-1.8849802	5.4783616	57.285732	-17.597681	22.007519	22.127104	33.259644	143.2980191707611
8	1.2	0.2	501.15613	123.08799	899.6119	242.98427	445.89056	105.69621	687.52356	337.7876	99.35294	90.5	40000	183.30275	102.410904	362.17972	-43.915474	183.30046	102.4129	360.953	-40.931793	186.69423	102.27412	357.31528	-58.25244	-2.1115384	5.1552353	34.13516	-17.20786	17.716906	17.57874	26.34972	164.84524583816528
9	1.2	0.2	434.88547	91.63301	806.5857	278.6599	568.782	126.14699	827.9296	360.96408	88.60714	117.3	45000	182.15778	97.99105	342.2892	-40.86115	182.15598	97.993675	344.12057	-33.967636	185.12782	97.79534	342.28842	-66.3295	-2.846577	4.9442377	33.4099	-18.294634	14.878815	14.714701	21.898481	186.0035843849182
10	1.2	0.2	483.42584	100.726036	838.4541	327.0954	502.94025	78.07074	666.7999	399.2245	95.169815	102.5	50000	184.24045	98.458725	338.75986	-31.898506	184.23784	98.45891	340.96918	-28.9499	186.98366	98.249954	336.89984	-37.504	-3.2957637	4.840274	34.42612	-18.806494	13.915455	13.954116	20.452627	207.76417803764343
11	1.2	0.2	514.9282	114.942955	787.3479	326.46832	510.40665	85.37008	706.40356	423.85733	102.28571	100.2	55000	186.05865	99.05082	341.2732	-37.7632	186.0567	99.05156	340.21564	-33.407875	188.5273	98.81942	339.3983	-70.932236	-3.725484	4.685715	40.077484	-18.24259	13.826735	13.962871	19.814323	229.41767144203186
12	1.2	0.2	520.8705	97.98707	798.0494	351.76248	514.2225	101.32436	790.7812	428.0833	104.78723	97.3	60000	186.9108	98.474655	344.4762	-30.641773	186.91006	98.47148	343.1823	-53.817787	189.25075	98.25995	342.4834	-38.449078	-3.9073565	4.73594	36.904846	-17.651548	13.761339	13.979524	19.605488	250.69853281974792
13	1.2	0.2	520.1666	101.985344	777.3097	326.99603	695.4067	235.37563	1269.9453	466.2993	102.081635	142.4	65000	188.59477	98.10645	343.8579	-54.150585	188.59344	98.10336	341.303	-44.95574	190.80005	97.8454	342.7963	-43.78577	-4.2399297	4.644027	35.191635	-17.126228	13.036335	13.330839	18.160177	272.55457043647766
14	1.2	0.2	525.6969	89.09217	758.33	363.2072	527.15985	65.02467	667.7206	447.18124	102.30612	100.4	70000	192.24506	98.97056	346.44586	-38.67489	192.24481	98.96677	345.75366	-34.69369	194.40576	98.7067	346.4903	-31.33084	-4.1623397	4.6449347	36.830906	-20.740633	12.694403	12.905208	17.785429	294.1629776954651
15	1.2	0.2	514.8188	107.14492	868.71704	316.97327	568.14056	69.01671	637.0105	385.00406	101.67347	110.0	75000	195.6601	100.83583	353.4089	-62.441822	195.65918	100.83433	355.08682	-21.412092	197.79637	100.60577	351.8923	-49.55763	-3.9118607	4.692507	37.277164	-17.25132	12.869943	13.051124	17.544771	316.0302882194519
16	1.2	0.2	544.886	122.61347	894.1065	249.12154	538.2302	42.852318	601.345	461.31985	107.46809	103.3	80000	198.7728	101.59946	355.76007	-40.671577	198.7721	101.59752	356.0635	-29.87983	200.7652	101.33982	355.8376	-34.59277	-4.1998897	4.5538435	34.501717	-16.436165	12.863477	13.109768	17.13953	337.790678024292
17	1.2	0.2	563.24133	124.64498	907.1137	355.3365	537.6373	130.23029	840.6849	411.93185	110.13333	111.4	85000	199.88574	101.73351	354.14615	-31.187464	199.88583	101.730354	356.1578	-53.623264	201.76494	101.44569	353.86813	-35.99582	-4.3611617	4.5047865	43.052948	-17.439419	12.865673	13.097239	16.782139	359.39368510246277
18	1.2	0.2	533.11505	124.05473	802.4996	348.64133	628.00635	74.125	811.45715	551.21356	107.61702	125.8	90000	200.7375	101.69213	357.23813	-33.135796	200.73741	101.68921	356.89502	-41.324097	202.53102	101.413376	355.8579	-38.833755	-4.4153066	4.4817414	39.283596	-16.741966	12.665715	12.890054	16.308525	381.57792568206787
19	1.2	0.2	602.89026	174.86252	1151.6609	345.59546	490.34033	147.39702	919.02203	370.9964	118.35714	106.6	95000	202.15579	101.46538	354.98834	-34.526947	202.1549	101.46394	358.25632	-36.00244	203.88087	101.17683	354.10196	-31.718462	-4.5029707	4.5762577	38.187298	-16.919537	12.570603	12.806475	15.872328	403.4013020992279
20	1.2	0.2	534.6823	119.579926	992.5357	353.60733	510.49887	70.09406	625.13275	405.13828	106.914894	100.4	100000	203.95734	101.94962	358.36536	-23.176035	203.95721	101.94731	356.25366	-44.20967	205.65642	101.643715	357.5873	-42.43004	-4.5461063	4.5422993	33.637558	-18.071365	12.334977	12.59371	15.514408	425.50633549690247
21	1.2	0.2	542.8696	82.75214	744.7707	421.81036	588.8761	111.57922	791.49457	432.55756	107.26087	119.7	105000	205.62428	102.72342	361.03058	-23.705833	205.62387	102.72151	358.84668	-29.167675	207.24321	102.43799	358.2431	-25.223526	-4.6281056	4.5026426	37.260376	-17.142996	12.36943	12.694602	15.41894	447.228919506073
22	1.2	0.2	595.3701	147.01396	935.86444	373.57965	548.7167	108.33519	798.47235	412.63474	116.51163	103.3	110000	207.10812	103.34797	361.0771	-32.131046	207.10793	103.343285	363.73038	-58.058964	208.72223	103.03515	360.1938	-63.5535	-4.687249	4.5344353	35.409832	-17.312038	12.340747	12.687237	15.271808	469.06902527809143
23	1.2	0.2	600.7711	142.53859	964.63055	300.35028	603.09924	84.19935	706.7871	469.06155	118.093025	116.1	115000	208.88004	103.40655	365.9154	-34.0532	208.88016	103.403076	361.9238	-27.789762	210.43066	103.094055	361.66837	-33.235207	-4.691519	4.4644666	43.474453	-17.577888	12.174359	12.47518	14.559777	491.21454405784607
24	1.2	0.2	582.5188	123.553696	970.6224	365.45532	668.37805	88.76891	864.72064	565.5853	112.90909	132.9	120000	210.41223	103.62402	363.29572	-32.104317	210.41238	103.61935	363.63013	-20.417898	211.92136	103.27794	362.99777	-23.238567	-4.801275	4.4379077	36.336914	-17.216904	12.021096	12.363135	14.2853985	513.1485543251038
25	1.2	0.2	576.9898	104.25461	830.99805	376.1177	660.73047	170.69235	941.2319	458.646	115.16279	133.9	125000	211.54083	104.04123	368.40512	-39.32993	211.54164	104.03741	365.62476	-53.67276	213.00467	103.703926	365.33176	-22.274334	-4.887564	4.4438715	39.28403	-17.706081	12.016362	12.268123	14.09832	535.0481162071228
26	1.2	0.2	585.78436	173.09398	1338.0787	379.82852	653.75195	136.49988	866.4267	470.9694	115.52273	128.6	130000	212.83447	104.3962	365.3681	-28.056368	212.834	104.39387	366.04727	-68.47862	214.27538	104.06987	364.8441	-64.94358	-4.8881607	4.433018	37.474354	-17.843897	11.990973	12.306106	13.802624	557.8564400672913
27	1.2	0.2	634.0596	182.88156	1172.3488	387.4978	593.21454	73.63357	757.05334	510.10803	124.65	121.9	135000	213.89575	104.68785	367.59326	-32.32948	213.89684	104.68364	367.67505	-54.490784	215.29231	104.38816	369.2788	-22.913826	-4.81888	4.395282	38.799473	-16.87868	12.089372	12.358051	13.711091	579.9151749610901
28	1.2	0.2	628.9215	157.9573	1227.9175	388.82913	663.70215	172.8539	1149.5343	506.09927	123.625	126.4	140000	214.62038	104.658356	368.57602	-54.4702	214.62073	104.65591	372.06522	-48.729527	215.99965	104.330734	368.12317	-19.842644	-4.866994	4.329096	33.921875	-16.96035	11.771636	11.944547	13.355848	602.1770629882812
29	1.2	0.2	579.2974	117.2033	830.3065	405.54013	551.32605	48.65504	609.46875	473.36884	112.95556	115.6	145000	216.1633	105.07242	368.17084	-21.055553	216.16376	105.06971	368.8403	-58.35472	217.49808	104.74855	369.59872	-34.625816	-4.98344	4.2403784	39.708157	-17.530651	11.758228	11.826354	12.977723	624.6174159049988
30	1.2	0.2	582.8505	126.87215	982.54346	402.63232	579.69403	139.97758	890.579	448.7408	113.36364	108.2	150000	217.63474	105.64798	369.5973	-35.647892	217.6347	105.64553	369.51318	-36.286343	218.98053	105.316376	369.45993	-31.9736	-4.9791083	4.274514	31.304722	-17.603424	11.657407	11.842992	12.796388	646.7370982170105
31	1.2	0.2	592.7765	99.173256	803.64886	416.41647	672.94574	44.320496	762.628	617.246	115.790695	136.0	155000	218.44661	106.19916	371.9746	-75.22975	218.44716	106.19717	373.3017	-48.137123	219.75911	105.87663	373.26556	-41.96417	-5.110631	4.2525787	34.989452	-17.499908	11.709936	11.751191	12.770646	669.1201519966125
32	1.2	0.2	592.62756	167.10408	1013.403	344.64127	585.1226	94.088715	834.0405	498.5172	118.414635	119.9	160000	219.39145	106.530655	373.0581	-31.661364	219.3924	106.52849	372.7965	-30.679611	220.67374	106.22025	372.08316	-25.360323	-5.132911	4.179789	33.994488	-17.233696	11.630109	11.817741	12.551311	691.0126194953918
33	1.2	0.2	627.5241	178.26389	1189.982	363.90576	561.62775	88.87202	716.96704	447.42874	124.87805	111.2	165000	219.48653	106.674416	372.13974	-94.52696	219.48651	106.673134	374.94922	-88.32352	220.75291	106.35422	374.62344	-60.276897	-5.1493287	4.162975	40.919342	-17.49659	11.976126	12.096374	12.83238	713.3921024799347
34	1.2	0.2	620.3079	166.15376	1062.63	400.83267	648.76935	97.72307	878.22437	550.5394	120.268295	130.5	170000	220.71935	107.0267	374.15524	-37.79565	220.72002	107.02406	375.4613	-49.337246	221.991	106.727	374.41544	-48.22185	-5.117939	4.2443314	40.25985	-17.114653	11.886114	12.002468	12.498917	736.2290699481964
35	1.2	0.2	622.82306	169.02324	1039.3928	342.55588	689.5364	220.26167	1255.8154	527.4347	122.07143	137.7	175000	221.77345	107.46206	375.5101	-39.19842	221.77342	107.46144	375.4679	-52.47013	223.01631	107.17233	375.32272	-25.934763	-5.208618	4.2095222	60.620964	-17.503857	11.99426	12.100576	12.532644	759.2195069789886
36	1.2	0.2	641.8253	167.33801	1092.3119	366.62262	681.6989	229.2178	1231.7761	455.89163	127.333336	133.0	180000	223.00816	108.099976	376.89252	-25.83573	223.00789	108.09871	380.12778	-30.218067	224.25334	107.82802	378.59555	-27.14689	-5.12724	4.218623	35.38343	-17.698488	12.223741	12.242652	12.409016	781.6419913768768
37	1.2	0.2	715.33466	204.45094	1233.9366	409.64163	674.3668	88.60847	841.35675	544.2166	142.82353	129.9	185000	224.1129	108.649895	379.53458	-36.30697	224.1135	108.649376	381.66547	-51.04892	225.36403	108.386055	380.89676	-16.979982	-4.9621544	4.276531	44.857834	-17.761831	12.389785	12.422465	12.499517	803.7072474956512
38	1.2	0.2	606.9375	138.2633	1027.645	401.33896	647.5912	117.46816	837.88885	505.068	121.333336	126.6	190000	225.33702	109.09592	380.658	-33.92183	225.33717	109.094925	382.1818	-49.55298	226.55621	108.82763	380.4067	-28.247908	-5.0808554	4.233196	40.330368	-17.4796	12.5632515	12.594826	12.602088	826.370035648346
39	1.2	0.2	611.65204	148.04276	989.8408	376.35098	619.33936	112.28282	900.74054	495.47287	120.54762	119.9	195000	226.06165	109.506	382.4221	-30.126915	226.06155	109.505295	382.209	-39.545425	227.26987	109.246254	381.8196	-34.00883	-4.988627	4.252525	38.267845	-17.701534	12.673008	12.730006	12.550841	849.2669486999512
40	1.2	0.2	687.7485	195.66464	1333.475	429.52197	565.0929	79.335915	688.14404	450.05884	135.75	104.6	200000	227.0687	110.14383	383.5326	-51.428352	227.06927	110.142944	383.00992	-37.375206	228.3017	109.9051	385.26294	-37.557907	-4.8797956	4.3367567	37.935837	-17.36573	12.846805	12.755503	12.555663	871.1712946891785
41	1.2	0.2	709.4828	231.60071	1347.8094	425.70367	650.5919	109.7383	834.56696	498.96634	142.05556	125.5	205000	228.51535	110.604294	385.92737	-26.625004	228.51541	110.604454	385.4524	-26.844364	229.74445	110.374374	387.512	-56.65532	-4.835499	4.3572116	38.45714	-17.214714	13.209328	13.190638	12.878417	894.3086538314819
42	1.2	0.2	633.34265	177.36868	1500.8762	371.92245	677.81305	115.47271	892.2403	543.97546	123.7	130.2	210000	229.26634	110.962204	389.33548	-22.879375	229.26668	110.96108	387.6752	-53.260223	230.45042	110.69791	388.3643	-33.37783	-4.893196	4.34463	34.873634	-16.80506	13.341304	13.3436775	12.796003	916.7867522239685
43	1.2	0.2	659.7102	121.35352	1040.7108	497.54697	492.87354	44.195465	588.1151	436.68185	127.35897	91.0	215000	229.76222	110.628334	390.89008	-45.888294	229.76251	110.627625	388.10825	-36.10204	230.93439	110.3689	386.6489	-24.592098	-4.8354144	4.3275685	44.63233	-17.504194	13.27751	13.32811	12.586031	939.0910296440125
44	1.2	0.2	756.16064	272.07452	1479.5256	400.23026	620.9819	64.27563	763.6673	532.1348	147.76471	123.7	220000	230.88521	110.715195	388.07816	-18.687466	230.88554	110.713394	388.7057	-34.445557	232.07042	110.4588	387.85925	-31.840845	-4.881899	4.254779	46.48923	-18.256937	13.005541	13.06306	12.073356	961.775449514389
45	1.2	0.2	709.5023	174.1562	1101.427	420.25574	703.6168	132.4385	1032.7123	581.03357	136.88889	135.5	225000	232.44955	111.55196	389.27786	-41.281452	232.44965	111.55206	390.72507	-33.658924	233.62486	111.29373	388.63635	-21.77911	-4.9746027	4.2565165	41.23339	-16.639622	12.946395	12.900073	12.148776	984.7132878303528
46	1.2	0.2	762.52405	283.78494	1692.2456	379.8799	687.3732	114.051384	884.5079	513.9017	148.44118	129.6	230000	233.73036	112.21567	393.17746	-45.62363	233.731	112.21371	391.59622	-71.27627	234.88522	111.95069	390.16385	-52.526752	-4.9688487	4.2126846	42.560425	-17.288715	13.152834	13.171497	12.21613	1008.2973263263702
47	1.2	0.2	852.0998	314.2487	1753.1077	389.84988	608.7881	74.36076	759.48193	490.24597	166.53334	114.8	235000	235.03644	112.48739	391.11407	-25.245716	235.03725	112.48721	392.34576	-58.70992	236.2009	112.22289	391.24692	-32.556206	-4.882348	4.222654	38.808296	-16.931053	13.378087	13.289138	12.223216	1031.027197599411
48	1.2	0.2	730.2518	253.62604	1990.7747	446.9473	575.22864	21.033672	606.66345	541.8459	141.36111	106.4	240000	236.30295	113.19407	394.27722	-19.890884	236.30362	113.19348	393.8396	-21.553085	237.44032	112.93974	393.56546	-22.020483	-4.8765755	4.167771	42.260887	-17.073557	13.686992	13.622493	12.425174	1054.1991851329803
49	1.2	0.2	943.9198	312.5279	1788.379	515.13214	619.6079	49.368034	706.267	564.6029	184.40741	117.0	245000	238.03253	113.86905	395.78094	-27.952868	238.03287	113.868034	397.62292	-30.60422	239.20926	113.62017	395.64258	-33.082493	-4.647735	4.257426	43.695347	-17.375143	13.791204	13.6758795	12.384863	1076.895483970642
