Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.4312206	0.020298585	0.4714874	0.3769134	40.405052	-0.04831865	0.054940525	0.1770047	-0.3119344	4096	-0.07967887	28.110876	-0.023958972	-25.164377	10.96442	-0.0024839432	0.011904762	15.0	32.23559904098511
1	0.43086022	0.020381348	0.4688537	0.37715265	39.783504	4.618006	1.5121089	16.204967	2.1934757	8192	0.09090543	4.003218	-0.020580176	-2.897871	11.219619	0.0014923471	0.007936508	15.0	37.23634886741638
2	0.42910832	0.019486867	0.46895677	0.37782428	40.88172	4.090222	2.3005579	16.467678	0.32492432	12288	-0.08032048	1.4347172	-0.017019117	-1.149741	10.942031	-0.008363214	0.01984127	15.0	42.2558319568634
3	0.43247062	0.018316815	0.4689172	0.380167	40.4	4.541893	2.4717247	15.492494	0.20129937	16384	-0.004127202	0.37511644	-0.018532852	-0.2435518	11.092834	0.0029733593	0.01984127	15.0	47.278517961502075
4	0.43297985	0.017191008	0.4686722	0.37839752	40.364582	4.5744324	2.5101209	14.27074	0.13531816	20480	0.008226216	0.78031594	-0.023396993	-0.39098558	10.838254	0.0021022863	0.05952381	15.0	52.27317953109741
5	0.42897716	0.023082491	0.4673969	0.37740728	40.265305	4.505351	2.4667265	13.655186	0.20719734	24576	-0.06037158	0.4728693	-0.015169822	-0.17834313	10.931445	0.008270933	0.043650795	15.0	57.40348553657532
6	0.4306029	0.017664062	0.46858087	0.37835154	41.9011	4.656853	2.4551008	12.855483	0.14944059	28672	0.017483778	0.3769137	-0.0242363	-0.19638903	11.37271	0.0010883297	0.05952381	15.0	62.40114760398865
7	0.4277422	0.025358517	0.46968257	0.37551177	40.42268	4.4645886	2.401454	11.265191	0.15573438	32768	-0.034666236	0.18767263	-0.017111348	-0.112457454	10.884308	-0.0024004471	0.023809524	15.0	67.43026614189148
8	0.4295582	0.02130202	0.4700003	0.37722886	37.980198	4.434231	2.5061624	10.355327	0.16288432	36864	-0.07574088	0.10316843	-0.022165678	-0.060159802	11.010449	0.0024346134	0.011904762	15.0	72.39564323425293
9	0.4335638	0.018060645	0.4698832	0.3824798	39.831577	4.6573963	2.5012872	10.65039	0.18412924	40960	0.010604541	0.13188647	-0.015016925	-0.08314345	11.110786	0.0022397586	0.035714287	15.0	77.22009563446045
