Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	122.16216	34.841625	254.16147	83.142456	265.55768	13.043081	281.4716	237.88287	24.336586	49.2	5000	0.82188994	48.67755	98.402275	-130.55852	0.8252307	48.674442	99.24322	-133.17108	-1.9353174	54.825844	102.02366	-194.6232	24.765785	178.35301	20538.766	-16.66377	4.499847	4.513576	566.074	20.724711894989014
2	1.2	0.2	123.12263	36.676327	301.44672	78.61977	215.73833	6.587475	230.10031	206.33513	24.495098	39.7	10000	144.48347	72.92525	318.76517	-62.344486	144.48314	72.92163	316.409	-66.17534	155.2642	71.78268	330.07172	-42.83657	2.1118705	5.868645	32.782433	-17.290606	10.068743	10.071266	23.111347	40.842554807662964
3	1.2	0.2	252.25891	72.190414	479.21545	114.7471	312.89993	23.899784	355.19727	284.345	49.346535	56.0	15000	272.41663	108.635544	420.98163	-214.42926	272.42053	108.61408	412.55994	-180.01035	284.82758	100.25221	417.43005	-205.99617	3.2766793	7.8516917	56.827286	-17.670393	48.738903	48.62661	71.23027	64.30507636070251
4	1.2	0.2	317.82605	59.546917	483.10263	147.74704	529.7191	54.016495	658.0432	467.8266	58.360466	98.5	20000	259.39285	124.9749	419.90808	-94.46973	259.39206	124.98834	414.51004	-89.6919	267.40228	120.494316	416.1698	-104.969955	1.2054408	8.494264	120.1761	-17.138132	40.282017	39.255154	60.579014	87.99468779563904
5	1.2	0.2	408.6822	87.27554	656.04016	230.26595	552.7975	65.12291	700.44806	490.61838	81.590164	107.9	25000	220.47597	120.49944	409.17676	-83.415276	220.4778	120.50262	405.60068	-70.57044	225.98021	118.70331	402.58023	-83.90203	0.0832397	6.5359244	52.185844	-20.44098	28.22626	27.847132	42.847855	111.86396646499634
6	1.2	0.2	406.3737	97.106064	965.71405	289.36435	405.1629	102.46461	698.0481	318.0269	85.56896	89.7	30000	202.19943	111.74309	387.8318	-90.02442	202.19899	111.74103	386.9594	-73.136116	206.82845	110.91743	388.0167	-84.03534	0.11640477	5.169463	39.11262	-17.674114	24.407106	24.612295	36.26576	135.5542495250702
7	1.2	0.2	413.1826	90.72689	688.8651	271.23987	312.56607	22.560604	345.32834	273.52267	86.86207	65.6	35000	195.17351	107.885666	356.0498	-88.36651	195.17287	107.88571	355.5043	-119.08594	199.17001	107.28754	353.57156	-285.7705	-1.1227583	5.146116	125.858154	-17.336555	20.821344	21.02274	31.148136	159.3240122795105
8	1.2	0.2	430.2941	108.82593	683.9651	269.4307	420.09686	41.375134	516.59973	372.83554	87.91228	85.0	40000	190.67953	107.73478	359.55432	-46.85357	190.6786	107.735306	353.84995	-48.176216	194.16388	107.40359	352.99213	-58.519924	-1.9853493	5.1902843	31.415236	-16.898026	18.387	18.53009	27.363506	183.34880542755127
9	1.2	0.2	455.6175	104.74848	733.53485	250.76952	576.41766	136.78723	934.9905	455.65463	88.03509	111.9	45000	185.19235	104.477875	355.93637	-21.013496	185.19127	104.47988	350.90924	-26.559822	188.28313	104.32868	350.55798	-33.3269	-2.2882664	5.0172467	28.979158	-17.281006	15.787543	15.802832	23.35424	207.53206944465637
10	1.2	0.2	503.94092	137.69453	1036.7319	316.8493	465.56744	81.36027	628.0744	369.19232	96.19231	85.8	50000	185.09126	100.03772	344.8511	-50.475544	185.0907	100.036476	347.2483	-17.87857	187.97917	99.74032	347.26724	-26.213612	-2.8105779	4.9404235	28.134342	-17.909472	13.128132	13.34129	19.878052	231.39656400680542
11	1.2	0.2	502.30826	101.75042	900.1864	350.5643	416.88135	24.489016	476.76712	382.76242	96.82353	74.7	55000	187.62903	98.29053	337.60513	-17.071445	187.62923	98.28891	339.2609	-29.723612	190.23488	97.94549	338.86374	-22.493198	-3.4593842	4.8959193	38.84477	-17.621965	11.58477	11.699815	17.256165	254.99703240394592
12	1.2	0.2	487.64838	104.30427	868.8907	322.30106	499.86993	133.75479	864.4914	409.6974	93.5	94.9	60000	190.33461	98.74588	343.4091	-17.061401	190.33395	98.744606	339.7121	-41.687107	192.78671	98.38354	338.91135	-20.05155	-3.8773623	4.816958	31.52359	-18.818026	11.148017	11.34282	16.43421	279.23456144332886
13	1.2	0.2	518.9055	139.39696	1011.08417	335.21326	463.84106	15.882738	486.33582	441.5869	103.208336	96.5	65000	191.61916	98.94389	342.30103	-18.388088	191.61829	98.942856	342.0921	-16.180893	193.84418	98.58858	339.95935	-19.077562	-4.307358	4.765331	31.265726	-18.923563	11.180075	11.312338	16.135424	303.3405907154083
14	1.2	0.2	513.8208	118.767456	839.61304	346.72995	596.66943	72.127014	725.50464	483.66565	102.95918	117.8	70000	192.87029	98.63467	343.22687	-23.212502	192.87042	98.63152	343.33774	-24.415785	194.95451	98.26645	342.2651	-17.269188	-4.4925313	4.6994987	36.078278	-17.504148	11.1026325	11.280575	15.656265	327.8996567726135
15	1.2	0.2	514.6724	96.484184	706.5105	344.88705	444.91217	47.806183	559.4464	387.9658	103.895836	96.5	75000	194.30338	98.877235	347.30032	-16.898703	194.30275	98.876144	345.85242	-24.964437	196.31993	98.5517	344.2154	-24.189146	-4.4772744	4.6736765	50.221825	-17.051332	10.965472	11.200365	15.122641	352.15896582603455
16	1.2	0.2	556.0479	115.46717	883.1938	344.18875	543.2871	111.62522	761.70044	422.71802	111.35555	113.9	80000	195.6331	99.49005	347.05356	-24.86971	195.63316	99.489265	346.54108	-25.502037	197.54025	99.17689	346.1973	-24.366947	-4.59275	4.5780573	36.158306	-17.103472	11.271484	11.333616	15.05873	376.7084321975708
17	1.2	0.2	594.6718	172.20401	1092.0686	312.38895	634.618	81.13913	799.9852	542.64417	121.51219	125.3	85000	198.46844	100.4656	352.78442	-19.834484	198.46844	100.46542	352.41782	-25.811121	200.4082	100.186584	351.83173	-32.775887	-4.325435	4.66075	29.125648	-17.16133	11.507687	11.5272045	15.054225	401.2652428150177
18	1.2	0.2	592.42645	138.39258	981.5444	399.91833	682.3509	211.01044	1179.9484	487.20673	117.52381	137.6	90000	202.21303	102.114975	358.78745	-16.875885	202.21277	102.11511	356.36032	-21.808363	204.08017	101.82037	355.04593	-29.649673	-4.3745337	4.625473	38.12228	-17.062485	11.534973	11.543969	14.689045	425.7943432331085
19	1.2	0.2	513.2403	103.57635	837.86847	300.19492	606.4955	95.64601	728.59924	411.2115	103.38776	120.6	95000	203.79301	102.93326	358.94028	-24.58698	203.79234	102.93352	358.84668	-20.953787	205.60718	102.627686	357.4025	-21.652544	-4.3954177	4.6309066	31.963438	-17.489162	11.699251	11.654249	14.672148	450.4857482910156
20	1.2	0.2	588.8092	157.18088	1149.5214	376.47418	453.67276	55.314156	566.2236	383.19473	115.790695	88.6	100000	205.21007	103.108536	359.30762	-20.464247	205.21031	103.107704	360.2972	-25.861158	206.97903	102.78056	358.41156	-19.30329	-4.3538375	4.57131	30.047544	-16.436808	11.557882	11.632726	14.51217	474.67355370521545
21	1.2	0.2	573.5862	130.30536	891.79	407.14896	525.2915	87.19365	723.27124	440.88992	112.318184	98.7	105000	207.279	103.66522	364.2461	-16.260323	207.27881	103.66443	362.30426	-27.464176	208.99603	103.31625	362.3788	-33.36458	-4.378651	4.6777287	33.25662	-17.753946	11.392991	11.409553	14.01943	498.88929533958435
22	1.2	0.2	591.02014	152.67955	1076.8876	365.2595	502.7768	61.537605	613.4983	410.35406	117.023254	98.4	110000	209.34183	104.18946	364.091	-20.509945	209.34232	104.18661	363.6507	-18.902145	211.00201	103.855675	361.74982	-21.254566	-4.4012523	4.677681	46.697758	-16.972174	11.463074	11.523528	13.968202	523.3380346298218
23	1.2	0.2	589.2337	182.6531	1077.7681	339.0641	564.98755	147.28946	929.34064	417.24344	115.318184	111.1	115000	210.01233	104.4111	364.4254	-24.334814	210.01257	104.409935	365.26227	-23.65346	211.61908	104.07892	362.31253	-25.378925	-4.4058547	4.7256265	34.02597	-18.217808	11.543292	11.61864	13.682725	548.2065687179565
24	1.2	0.2	539.63666	113.70313	869.397	354.3135	635.12415	163.61473	912.42236	394.6197	103.9375	124.3	120000	211.25458	104.4939	366.42383	-16.376806	211.2544	104.49235	367.1399	-23.58292	212.84158	104.16738	365.11624	-14.503957	-4.6041045	4.606457	56.159935	-17.995361	11.47163	11.629864	13.60759	572.9756786823273
25	1.2	0.2	559.9618	122.17683	892.0899	361.8538	518.40515	66.08338	701.38654	470.62015	108.95556	97.3	125000	212.96101	104.74396	370.70065	-15.448827	212.96141	104.74207	369.7507	-24.131481	214.50879	104.38957	365.49658	-16.885159	-4.592173	4.5948167	32.517902	-18.04098	11.336381	11.486653	13.153639	597.291198015213
26	1.2	0.2	573.96716	141.5919	981.2964	397.26477	569.7832	142.79538	982.67566	430.8271	113.022224	111.0	130000	214.06886	104.97619	368.24197	-19.142933	214.06882	104.97475	368.51022	-18.254206	215.5723	104.607216	366.35422	-16.98213	-4.87963	4.565528	37.30473	-16.959217	11.445628	11.489514	12.91814	622.741265296936
27	1.2	0.2	528.0492	122.55551	857.71216	336.39752	476.70782	32.496197	524.7929	391.61795	104.78723	87.9	135000	214.55754	105.22015	367.99237	-24.368326	214.55814	105.218506	367.85123	-40.559883	216.03418	104.878395	367.17914	-24.367859	-4.9184365	4.528718	37.637054	-17.43155	11.275403	11.329277	12.6364	647.1770265102386
28	1.2	0.2	567.4894	131.99373	1062.2065	382.82904	565.103	113.95524	763.09186	410.39685	111.8	110.5	140000	215.50114	105.83686	369.0926	-19.084656	215.50117	105.83541	371.04968	-25.500095	216.9422	105.499115	368.8716	-20.824757	-4.8589377	4.4800825	32.015537	-18.651567	11.443439	11.612763	12.748934	672.1670825481415
29	1.2	0.2	576.0224	144.06343	1042.3934	369.6862	682.6427	122.551186	868.81824	505.2451	114.454544	139.5	145000	216.42358	105.867195	368.69257	-24.64383	216.42393	105.865555	369.14258	-25.419353	217.83072	105.532776	368.51794	-22.279064	-4.840516	4.48195	38.68844	-17.151115	11.7098465	11.777814	12.748676	697.4024324417114
30	1.2	0.2	606.0135	157.20149	1033.9246	358.3506	532.2035	108.24866	747.7206	440.5237	119.95238	99.2	150000	217.16855	105.87461	370.24216	-35.910763	217.16904	105.87195	368.91544	-19.20801	218.52168	105.5176	368.9149	-19.520227	-5.0181413	4.4254274	36.686478	-16.79321	11.941385	12.078773	12.722418	722.3117933273315
31	1.2	0.2	571.733	133.86813	1120.6132	394.3856	542.2606	82.61893	739.8109	464.78757	110.4	101.2	155000	217.99617	105.9742	371.54883	-21.30981	217.99638	105.97298	374.5166	-26.944162	219.31044	105.590904	368.8973	-15.777156	-5.163725	4.3519015	41.072285	-16.620914	11.961134	12.03812	12.523959	747.0203566551208
32	1.2	0.2	561.2555	133.83531	913.9646	314.82843	614.7442	218.84962	1032.3633	377.98654	110.08889	124.9	160000	218.13547	105.633575	369.9462	-21.429436	218.13524	105.6322	370.5613	-22.899698	219.41545	105.255165	369.35675	-13.521906	-5.14442	4.3247333	38.881824	-18.670603	11.829176	11.901504	12.210224	772.0100703239441
33	1.2	0.2	602.3897	146.40936	1046.7917	383.25464	627.1229	97.45018	760.7706	486.94974	116.4186	119.2	165000	218.4871	105.454285	368.86166	-18.422567	218.48712	105.45369	368.39746	-36.127037	219.74646	105.08961	368.24063	-22.964863	-5.2650633	4.291196	30.097012	-17.761267	11.538395	11.659226	11.72271	797.1192071437836
34	1.2	0.2	570.0686	128.59915	969.03186	357.5237	634.3948	156.49033	1007.99164	468.33	110.31111	119.3	170000	219.44778	105.75785	367.5026	-20.901445	219.44795	105.75541	367.61203	-23.6296	220.67769	105.384796	367.24924	-23.951086	-5.2145767	4.278685	35.62347	-17.380182	11.427281	11.578111	11.585966	822.1610610485077
35	1.2	0.2	576.5757	110.954575	839.7847	397.8357	578.7148	116.04046	861.6061	466.8148	112.933334	117.7	175000	220.21872	105.78709	370.42593	-32.810165	220.21849	105.78667	369.1283	-22.620281	221.43149	105.41279	368.00385	-20.341646	-5.188913	4.3170075	31.431564	-17.351292	11.622161	11.634136	11.530763	847.6569485664368
36	1.2	0.2	603.8497	154.3328	1207.9259	398.14185	528.44604	76.86959	663.84357	447.03598	118.64286	98.2	180000	220.86168	105.88537	369.4613	-48.94148	220.86133	105.884766	370.92453	-24.525606	222.06244	105.51088	369.1192	-32.799747	-5.2232494	4.217307	32.954624	-16.654509	11.628175	11.720434	11.474719	872.5937628746033
37	1.2	0.2	683.9291	208.52808	1299.0792	389.94733	595.573	110.87191	779.191	476.72983	134.7027	121.6	185000	221.50134	106.391	371.61646	-14.574069	221.50073	106.390884	370.68958	-24.782564	222.69467	106.030594	370.31784	-18.148441	-5.0812054	4.244969	32.90382	-17.523886	11.647441	11.81441	11.337404	898.0429425239563
38	1.2	0.2	703.0515	219.82504	1343.0414	437.21246	571.541	73.025925	772.404	506.40228	138.38889	116.4	190000	222.9881	106.70165	373.54926	-19.075151	222.988	106.70252	373.8469	-29.016815	224.17293	106.32463	372.4001	-16.734404	-5.17928	4.2425604	34.079933	-16.683542	11.96364	11.940178	11.52015	923.4640929698944
39	1.2	0.2	674.8269	202.6793	1286.8059	384.5522	666.1561	123.536514	919.4601	517.58746	133.97298	130.5	195000	224.39687	106.81652	372.6332	-68.70133	224.39651	106.816154	373.0272	-49.65813	225.57413	106.43494	373.0603	-28.33618	-5.122891	4.181632	32.092804	-16.81582	11.877557	11.826685	11.222484	948.7041625976562
40	1.2	0.2	685.7853	171.26433	1283.2128	459.04288	608.20984	105.96308	774.85394	415.7689	135.08109	117.6	200000	225.54097	107.37664	376.97122	-22.9457	225.54141	107.374725	375.98944	-20.540771	226.68462	106.99573	373.92062	-29.022785	-5.307007	4.095633	36.49677	-18.793612	11.8812685	11.95793	11.25182	974.1817307472229
41	1.2	0.2	647.298	156.26004	1104.4214	389.85135	685.53625	125.563416	963.64087	524.1369	125.35	137.6	205000	226.23923	107.56805	374.83667	-19.715218	226.23949	107.567055	376.03336	-36.525646	227.38446	107.18267	375.29184	-19.464436	-5.240972	4.161446	39.05304	-17.103518	12.063451	12.120049	11.44383	999.7784640789032
42	1.2	0.2	703.85626	245.9013	1470.4874	395.688	719.34296	192.01463	1110.3486	463.46738	137.41667	141.2	210000	227.26688	107.84679	377.92593	-17.93681	227.26678	107.84531	376.5672	-41.122536	228.38379	107.47722	376.25305	-25.678816	-5.231807	4.14418	32.411648	-18.445843	12.017949	12.147851	11.088393	1025.2668769359589
43	1.2	0.2	664.1395	157.87006	1022.01996	372.1193	601.97864	83.89134	777.93396	499.36215	129.79488	113.4	215000	228.25198	108.0204	376.4599	-21.117027	228.25217	108.02005	378.48828	-30.151114	229.38759	107.652374	376.493	-17.405014	-5.143044	4.2175856	49.92459	-17.207098	11.96538	11.913187	11.178363	1050.798044681549
44	1.2	0.2	735.3209	193.16693	1189.2799	422.56805	577.73987	123.4513	744.646	384.6281	143.62857	112.8	220000	229.71834	108.64123	379.5153	-24.911592	229.71828	108.64093	378.3528	-17.006565	230.86327	108.28064	378.66617	-25.168034	-5.0691385	4.2285333	36.570854	-17.428844	11.975677	12.030581	10.973653	1076.4808859825134
45	1.2	0.2	746.85547	215.44307	1299.6656	407.3532	723.11633	281.05875	1312.2604	395.70862	147.24243	143.2	225000	230.9751	108.90864	380.72046	-16.903444	230.97508	108.908104	381.21674	-24.610075	232.09415	108.54541	380.8437	-21.544353	-5.1173053	4.171722	44.307705	-17.467983	11.97766	12.028324	11.101746	1101.7025141716003
46	1.2	0.2	719.0561	208.21811	1219.3989	414.86652	512.56165	91.93839	686.64026	373.55203	140.2973	106.0	230000	232.23782	109.64162	382.3445	-45.400574	232.23729	109.64182	383.23047	-21.124273	233.37029	109.2829	380.8359	-23.684559	-5.0238495	4.218706	42.735115	-18.117191	12.16511	12.122556	11.100604	1127.893755197525
47	1.2	0.2	631.7415	149.59093	1077.4127	411.47092	602.64105	93.97431	771.3291	460.75992	123.05	116.6	235000	233.22365	110.25391	383.33945	-36.08241	233.22392	110.25454	382.7814	-16.586119	234.33826	109.89359	383.40485	-29.091688	-5.006012	4.248245	37.922527	-18.014088	12.089017	12.128152	10.926597	1153.2814376354218
48	1.2	0.2	740.46466	212.61258	1335.5266	328.17328	692.92706	165.3543	977.4058	528.00085	148.52942	138.1	240000	234.23404	110.579895	383.9369	-22.799236	234.23347	110.58037	383.62164	-22.740482	235.35382	110.22493	384.00885	-23.559652	-5.009746	4.277049	48.01575	-16.855215	12.39671	12.422373	11.315814	1179.4541618824005
49	1.2	0.2	773.9699	218.97014	1431.7715	483.49008	783.7106	125.59041	1022.34186	610.3518	151.3125	149.9	245000	235.1058	111.2938	386.86703	-38.40513	235.10497	111.2951	387.2118	-32.017036	236.2084	110.95347	385.99548	-19.282936	-4.9384356	4.2547417	40.648586	-16.994612	12.380285	12.386907	11.119941	1205.0015096664429
50	1.2	0.2	886.0795	285.28906	1405.6869	424.12173	564.4424	41.072765	666.34894	520.2921	176.13792	105.8	250000	236.44543	111.898994	389.1025	-40.215454	236.44565	111.89893	388.54465	-34.507706	237.56699	111.5475	386.97256	-17.850576	-4.7717648	4.2828493	39.22924	-17.399977	12.602145	12.611438	11.296191	1231.0129284858704
51	1.2	0.2	784.9699	219.04837	1353.7177	475.32785	690.8583	138.70418	1004.16455	565.03094	154.54546	135.5	255000	238.43079	112.62359	390.48856	-30.078493	238.43092	112.622215	392.19952	-24.928493	239.57236	112.29599	390.95465	-27.778427	-4.7675796	4.278651	35.07628	-17.369589	12.804239	12.858877	11.397521	1257.3798899650574
52	1.2	0.2	810.9703	266.36035	1756.0122	435.44977	751.76807	132.62842	915.1852	595.0093	158.06451	145.1	260000	240.14983	113.645424	392.2987	-29.51932	240.14929	113.64584	392.12784	-30.941183	241.31236	113.32305	394.1937	-23.79971	-4.5261607	4.362975	36.58698	-16.816742	13.154708	13.071872	11.510783	1283.4974780082703
53	1.2	0.2	840.5446	246.79161	1344.5984	482.1123	545.888	42.983807	609.9518	458.52786	167.7	101.0	265000	241.35942	114.482605	395.0545	-30.292633	241.35979	114.48331	396.21967	-19.550009	242.51479	114.1746	393.85257	-26.189732	-4.566991	4.3745084	38.276527	-16.45093	13.070516	13.081733	11.49212	1309.3336007595062
54	1.2	0.2	923.47125	445.14017	2417.9114	386.35526	894.24255	180.60052	1240.2377	527.1809	182.74074	175.5	270000	243.33481	115.10679	397.17374	-28.208784	243.335	115.107155	398.97388	-39.428265	244.49352	114.78446	398.42422	-19.0099	-4.399806	4.5022087	38.322556	-18.04942	13.557984	13.53752	11.782662	1335.638994693756
55	1.2	0.2	861.4246	367.3843	1861.3378	384.99722	690.7699	113.028656	856.9765	522.97174	169.8	130.9	275000	244.593	115.57154	398.09735	-35.07342	244.59291	115.57214	396.99948	-17.28177	245.7393	115.252884	398.32343	-28.686848	-4.4305687	4.473652	65.100876	-17.786499	13.767766	13.625976	11.8025055	1362.0310997962952
56	1.2	0.2	923.9446	407.16675	2008.4447	494.67337	706.0314	129.61072	937.3316	474.09848	182.51852	136.3	280000	245.86357	116.334755	401.22205	-19.483412	245.86307	116.3369	398.74442	-19.655106	247.02802	116.025055	400.32898	-46.548058	-4.307331	4.546396	31.887018	-16.969633	14.113021	13.959758	11.991378	1387.9684784412384
57	1.2	0.2	835.6311	242.24336	1404.3406	503.36676	780.2152	231.64856	1391.1151	522.1309	168.68965	152.2	285000	247.69635	116.99884	402.21655	-31.734114	247.69626	117.000305	402.98807	-22.897928	248.86345	116.70514	402.4212	-39.170906	-4.3498588	4.512795	47.6621	-18.840334	14.276994	14.14032	12.32933	1414.0321714878082
58	1.2	0.2	999.92487	438.01044	2349.2593	470.2715	987.3237	258.85385	1520.6289	682.82855	200.23077	198.3	290000	248.93684	118.05289	403.9259	-17.801432	248.937	118.05222	403.95544	-36.855583	250.10052	117.77731	405.04895	-25.075617	-4.226439	4.594692	44.483013	-18.386091	14.477883	14.4264555	12.295905	1441.7534420490265
59	1.2	0.2	1081.1543	562.0824	2651.4966	485.51505	898.63495	215.58983	1366.8038	614.18115	218.40909	178.8	295000	251.07686	119.47651	407.1942	-40.992397	251.07715	119.47704	406.82068	-16.84746	252.2763	119.215996	405.93808	-21.523514	-3.9973965	4.640129	35.668564	-17.459723	15.138953	15.073754	12.740931	1467.9393208026886
60	1.2	0.2	1019.90765	551.29675	2783.1248	508.6779	638.36475	86.0756	855.5689	549.1833	206.16	122.6	300000	253.31633	120.87038	413.70505	-29.034052	253.31604	120.87223	411.11264	-27.663189	254.52467	120.628525	413.06818	-28.108847	-3.883669	4.724208	37.958527	-17.983564	15.891314	15.675288	13.488531	1494.6357877254486
61	1.2	0.2	1076.9517	510.40085	2195.9082	395.30637	682.9557	111.8084	966.7112	591.30286	215.47826	128.8	305000	255.44237	121.77293	413.6569	-55.305637	255.44229	121.77349	415.92566	-39.326023	256.666	121.53694	415.35864	-44.449337	-3.7276719	4.707344	50.700405	-18.322697	16.258966	16.070574	13.5266285	1520.8324615955353
62	1.2	0.2	1100.2551	616.93176	2739.8215	444.81433	574.31116	61.663303	721.8169	511.01672	216.04347	107.2	310000	257.24402	122.818436	416.49875	-14.497251	257.2441	122.81914	419.9221	-19.153067	258.48502	122.61125	417.419	-17.121613	-3.5813248	4.761892	37.001854	-17.099522	16.432583	16.370153	13.437412	1546.7822415828705
63	1.2	0.2	1115.959	429.82126	2264.524	540.6567	868.9627	313.21057	1514.6277	560.95734	223.95454	163.8	315000	259.10843	123.81052	420.03665	-33.49227	259.10782	123.81273	421.58563	-22.379581	260.36725	123.60736	419.46912	-20.45468	-3.4108493	4.8762193	44.04734	-18.859325	16.861301	16.666664	13.7965765	1573.454250574112
64	1.2	0.2	1189.3938	690.3673	3070.209	497.91196	799.286	312.94043	1662.0646	560.1471	238.2381	154.7	320000	260.7352	124.69133	423.95065	-17.902052	260.73553	124.693375	422.30362	-14.773469	261.96915	124.46485	421.33252	-38.032135	-3.4716222	4.8609004	40.127426	-17.054718	17.128424	16.892628	13.9206915	1600.2199082374573
