Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	0.1386782	0.033931457	0.3516142	0.087247744	41.356846	1.3630075	0.72261083	4.005002	-1.9742911	270000	-3.3950805e-08	0.43729562	-0.11107215	-0.422702	10.873287	0.01512445	0.3982	76.0	999.0178518295288
27	0.14181852	0.029706294	0.23978457	0.08623604	41.570835	1.3781561	0.715935	4.0895295	-1.3639374	280000	1.2207031e-08	0.43899247	-0.08463165	-0.39850247	10.892821	0.01551314	0.285	36.0	1036.2879860401154
28	0.14170942	0.032526366	0.31666037	0.08565963	40.43725	1.4229611	0.7756081	4.8165827	-1.693373	290000	9.918213e-09	0.49682394	-0.10036228	-0.33181453	10.894558	0.015202292	0.3562	50.0	1074.6184439659119
29	0.13764313	0.03141875	0.31012228	0.08364205	44.63393	1.3804293	0.84089285	4.226471	-1.4749215	300000	-4.577637e-09	0.6097394	-0.025659265	-0.59767044	10.870725	0.014829213	0.175	8.0	1109.4546823501587
30	0.14048637	0.033635765	0.31715763	0.08664579	42.105484	1.4021573	0.7505197	4.017146	-1.4065956	310000	3.4332274e-08	0.44455138	-0.0848283	-0.43135202	10.9059105	0.015249941	0.2864	38.0	1147.283391714096
31	0.14258596	0.031016903	0.3080428	0.079183534	41.80335	1.4455223	0.7135899	4.6803093	-1.2516439	320000	-2.7942658e-08	0.4740317	-0.09793316	-0.46261442	10.805287	0.01504328	0.3452	52.0	1186.0448055267334
32	0.14334184	0.030638747	0.267132	0.08939132	40.63821	1.4301139	0.76680773	4.529862	-2.2116504	330000	-4.9591065e-09	0.43756825	-0.105453975	-0.427197	10.846561	0.015101846	0.3861	63.0	1224.976904630661
33	0.1402513	0.030865202	0.2891197	0.08915387	44.225662	1.406361	0.74925524	4.228545	-1.6227367	340000	-1.6784668e-08	0.4387688	-0.09806312	-0.4267851	10.900956	0.015237152	0.3506	50.0	1263.0986647605896
34	0.14104587	0.028367635	0.22877547	0.09059702	44.67713	1.4039028	0.726997	4.140471	-2.1621103	350000	-1.1062622e-08	0.46345523	-0.095960744	-0.45493916	10.882024	0.015210838	0.3375	49.0	1302.2263939380646
35	0.14104459	0.031219298	0.26673213	0.091275744	44.181416	1.4615242	0.7733667	4.845364	-2.3575995	360000	2.0217895e-08	0.45753068	-0.08624807	-0.4487817	10.833373	0.015455551	0.2972	39.0	1340.9500482082367
36	0.13962184	0.025218243	0.22700562	0.09705408	46.00461	1.4511929	0.7500248	4.104777	-1.0660275	370000	-4.8065186e-08	0.44334432	-0.10549657	-0.42782238	10.809764	0.015266177	0.3853	61.0	1379.665863275528
