Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.08831371	0.020327214	0.15984277	0.046264093	12.06401	-0.060737975	0.6778915	2.224563	-2.459408	10000	3.3569336e-08	0.94039065	-0.12547798	-0.8446313	10.987884	0.015071187	0.5002	85.0	47.25069046020508
1	0.087643355	0.019953886	0.1589715	0.054532785	11.902265	0.5568629	0.19298056	1.2429483	-0.21992818	20000	-1.5258789e-09	0.11931968	-0.0238878	-0.03355956	11.029713	0.027093783	0.3097	4.0	82.15819334983826
2	0.08756386	0.0197835	0.16614433	0.051637992	15.052711	0.5502697	0.17997028	1.1507075	-0.21265985	30000	-2.822876e-08	0.14478831	-0.016464049	-0.04793728	11.0326395	0.024893396	0.3166	3.0	118.75867033004761
3	0.08499632	0.016805125	0.15199593	0.051106185	18.294872	0.6438663	0.1781559	1.182308	-0.11479375	40000	-3.0517577e-09	0.16850284	-0.013900327	-0.056220904	11.011068	0.02227758	0.305	4.0	151.988618850708
4	0.08427637	0.016820531	0.14904563	0.056367684	23.251163	0.71716833	0.18858951	1.3433839	-0.13317484	50000	-3.0517577e-09	0.19582038	-0.022456497	-0.074398346	11.059702	0.02206997	0.31	5.0	187.07727479934692
5	0.08490217	0.016438583	0.15760006	0.054566845	26.997297	0.8217359	0.19861221	1.4732282	-0.054347284	60000	9.536744e-10	0.20559902	-0.02148206	-0.080417454	11.016497	0.015483565	0.2556	6.0	222.23970079421997
6	0.084598064	0.01472452	0.14426032	0.056215547	29.152046	0.8756296	0.21493913	1.654655	-0.32582402	70000	-8.392334e-09	0.20566171	-0.023726905	-0.08726508	11.004587	0.015653403	0.2037	6.0	259.5948281288147
7	0.084562376	0.01335669	0.1437638	0.051784284	36.538746	0.9232839	0.24830781	1.9007177	-0.25601897	80000	3.3569336e-08	0.23802803	-0.024304837	-0.10947454	10.980618	0.016277367	0.2165	7.0	296.23739218711853
8	0.085234046	0.013966358	0.15420984	0.06284901	39.003937	1.0282308	0.24376673	1.8586663	-0.0762188	90000	1.525879e-08	0.24831262	-0.0214949	-0.12246834	10.979265	0.015637603	0.2271	6.0	331.6262366771698
9	0.087703414	0.014707679	0.14040083	0.05916885	42.271187	1.0664438	0.24174026	1.8615538	0.045477323	100000	6.103516e-08	0.24709532	-0.022389354	-0.12200934	10.9862	0.015759502	0.216	6.0	367.4647946357727
10	0.08580792	0.013017503	0.13848256	0.05847172	45.611874	1.1141857	0.2599596	2.1269782	0.040815294	110000	4.577637e-09	0.25359142	-0.02713678	-0.13617107	10.960793	0.017182615	0.2295	8.0	403.7742598056793
11	0.08690936	0.012497308	0.13712592	0.06267401	53.23784	1.1493832	0.26619363	2.192162	-0.059240554	120000	-1.0681152e-08	0.26863533	-0.1274307	-0.14859873	11.030087	0.008357832	0.5038	99.0	450.2469210624695
