Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	120.500435	36.33627	298.4037	78.29567	287.41818	8.42288	298.33096	270.94806	24.033653	52.1	5000	-0.77848774	51.079285	102.0713	-128.24864	-0.7793742	51.079105	102.846344	-125.880394	-3.5251777	57.627506	106.26337	-239.40439	27.01845	189.2757	17127.193	-18.009573	4.9608445	5.0501013	648.33954	20.83616614341736
2	1.2	0.2	120.95019	34.693863	279.08908	78.27207	311.45975	11.602259	327.5905	295.38882	24.08738	59.4	10000	145.21957	77.83596	349.9331	-68.62878	145.21924	77.83816	346.92252	-48.87817	156.68604	77.99382	359.85458	-56.72592	2.1057374	5.024507	30.964289	-17.599833	10.139435	10.325657	24.864222	41.05922865867615
3	1.2	0.2	272.76248	56.897648	466.5356	124.93635	210.0391	9.261659	226.08562	193.14412	51.587627	47.3	15000	287.89536	121.83357	443.93292	-141.93443	287.89395	121.853004	450.26627	-101.45815	301.69394	113.54415	450.58093	-148.18887	4.6482215	8.729737	47.822487	-16.414742	49.106327	48.574528	75.734665	64.69233918190002
4	1.2	0.2	375.009	80.43392	737.3574	239.30342	388.97614	23.964941	453.6686	365.85162	72.85294	76.3	20000	268.538	134.5225	439.25363	-155.80226	268.53467	134.55086	440.2245	-96.348206	276.7394	130.49847	439.50735	-108.90426	1.3199065	7.457552	77.30029	-17.044298	42.018627	39.860096	57.879276	88.28327941894531
5	1.2	0.2	428.76282	101.10372	783.9115	265.0648	452.01215	176.94336	895.98926	292.09167	87.155174	95.9	25000	228.83478	126.05518	418.0145	-99.63637	228.83505	126.06278	416.67944	-108.59079	234.45753	124.25993	412.9317	-103.66403	-0.42626047	6.557604	41.90093	-18.097023	29.378834	28.799648	44.204662	112.68242073059082
6	1.2	0.2	365.9456	101.96009	687.706	214.48611	409.4871	25.254078	440.80325	359.20047	77.246155	81.6	30000	202.62096	114.5008	387.18826	-107.366516	202.6202	114.50733	381.0709	-78.37	207.02411	113.77455	379.62814	-110.5849	-0.9308034	5.43923	46.72044	-17.105068	25.26441	24.501398	36.21362	136.374906539917
7	1.2	0.2	415.57913	90.72224	632.54614	252.22713	307.47235	43.44274	409.3466	268.66733	84.913795	66.0	35000	189.10681	105.49029	366.16476	-81.12702	189.10754	105.49055	365.60428	-58.90544	192.7982	105.03691	358.77786	-126.69449	-1.8269769	5.162502	262.1275	-16.157558	21.55842	20.960903	30.33878	159.7710886001587
8	1.2	0.2	448.33835	84.59553	679.02344	287.86728	429.9594	72.187454	562.36273	351.19666	89.78571	87.7	40000	182.30373	101.05544	342.58203	-30.754606	182.30478	101.053215	343.2159	-32.215015	185.4642	100.68788	340.77618	-45.4729	-2.7419279	4.9412417	117.83229	-17.762648	16.652334	16.499266	24.168108	183.96904969215393
9	1.2	0.2	460.01266	102.41494	808.0814	299.57245	398.65912	28.185669	428.46234	335.59576	93.86793	84.2	45000	181.6014	97.88399	337.93497	-31.880035	181.60179	97.88222	339.2069	-17.7539	184.48578	97.51188	333.42538	-32.751198	-3.0176344	4.892593	33.802387	-18.585358	14.078169	13.926652	20.78437	207.79313206672668
10	1.2	0.2	462.08676	102.35583	829.7462	272.09918	519.38605	134.36522	783.3496	387.58145	93.92453	111.5	50000	182.08672	96.63738	339.4673	-28.894289	182.0881	96.63606	342.1587	-29.057138	184.7231	96.30896	335.19083	-37.948128	-3.1780934	4.7691817	29.629683	-17.634184	13.083876	12.888797	19.105577	232.00353813171387
11	1.2	0.2	564.08984	140.6046	1059.9042	337.67523	603.805	119.59319	876.0768	443.95184	112.818184	117.5	55000	184.56802	95.765366	338.2315	-23.792852	184.56926	95.7636	335.28656	-30.364056	187.03229	95.378914	333.4699	-37.665043	-3.5371904	4.816217	38.977753	-17.994556	12.379475	12.271607	17.746815	256.185031414032
12	1.2	0.2	504.99042	101.02565	819.9534	317.84656	533.746	52.40098	624.43097	456.52902	98.03846	99.9	60000	187.91298	96.45404	337.35645	-22.990423	187.91408	96.45243	339.59314	-35.060856	190.2188	96.056885	335.56107	-55.750065	-3.9225748	4.76678	39.25029	-17.908373	11.853403	11.790457	16.96986	280.6190278530121
13	1.2	0.2	537.0556	118.14422	910.39374	338.65143	566.8859	77.565056	674.21826	450.7429	103.833336	110.8	65000	191.18085	97.74809	342.4316	-23.355106	191.181	97.74662	343.45282	-24.153305	193.38454	97.38962	339.71625	-26.390055	-3.949041	4.7027407	33.119473	-17.135788	11.52213	11.5517845	16.379555	305.0054581165314
14	1.2	0.2	528.4759	116.76191	937.1352	285.81955	510.41437	128.58286	753.9756	370.55817	102.8125	105.8	70000	194.21004	98.92221	346.3825	-40.72604	194.21045	98.92143	346.05365	-28.69877	196.31229	98.548134	345.43796	-33.26414	-3.99875	4.6778994	31.121946	-16.793798	11.641352	11.616452	16.273891	329.13736033439636
15	1.2	0.2	550.41986	100.134514	838.9371	396.63513	515.5663	76.36698	698.9985	438.40338	106.583336	104.0	75000	196.3896	99.150116	348.1012	-30.061417	196.3902	99.148964	350.20978	-30.652695	198.39958	98.7622	346.67078	-39.356606	-4.138987	4.656661	35.60488	-17.254015	11.545893	11.420031	15.886579	353.6499557495117
16	1.2	0.2	562.1178	156.93517	1306.5679	397.72083	484.81207	29.895012	522.96564	445.65222	109.8	89.4	80000	198.49783	99.69889	349.34406	-30.900164	198.49799	99.69976	350.1015	-31.400642	200.40485	99.30317	347.83252	-40.12951	-4.248774	4.549205	32.38606	-18.079367	11.586027	11.434137	15.566731	377.70988297462463
17	1.2	0.2	528.5409	122.97034	1001.9315	367.20334	601.0677	98.693794	806.439	424.37125	104.791664	117.1	85000	200.1361	100.13897	350.99295	-39.615486	200.13602	100.138695	351.42014	-29.042612	201.95241	99.729866	348.0986	-42.370213	-4.3622355	4.5220118	61.923397	-18.98826	11.268384	11.174266	15.033511	402.4381387233734
18	1.2	0.2	562.51776	125.98963	898.51685	350.47977	635.60144	165.39404	1095.3759	528.1987	113.681816	128.0	90000	202.25429	101.012024	353.74915	-43.698612	202.2547	101.01154	354.46445	-35.985966	203.99854	100.620636	354.29907	-61.578403	-4.2020564	4.5755386	42.66694	-17.452238	11.393402	11.388464	14.952023	427.1988260746002
19	1.2	0.2	563.51654	164.65366	1310.571	379.89716	539.1603	69.53268	647.3923	425.14813	112.818184	111.7	95000	203.21782	101.528465	355.2067	-40.291225	203.21829	101.528435	356.7674	-36.12715	204.87184	101.16964	354.8443	-34.76838	-4.2862697	4.5813804	34.281494	-16.893951	12.040838	11.990539	15.037503	451.5133912563324
20	1.2	0.2	570.65906	135.62294	927.4778	350.74814	672.60724	207.8775	1230.3074	472.30814	113.11364	130.6	100000	204.89462	101.740234	355.75345	-40.234573	204.89375	101.74099	355.62686	-24.314571	206.50972	101.34368	355.3898	-36.81195	-4.493386	4.5456023	42.46012	-17.354858	12.015024	11.83332	14.941112	476.2073132991791
21	1.2	0.2	596.3007	139.31444	1015.88116	392.06754	586.16565	90.49572	759.5329	464.867	116.95349	115.7	105000	206.7033	102.325874	356.96054	-34.865574	206.70367	102.32684	359.28992	-26.750744	208.2741	101.92391	356.37564	-51.038307	-4.696608	4.434015	36.083168	-17.56362	11.679472	11.48978	14.185117	500.9108040332794
22	1.2	0.2	580.9931	119.03143	1013.0351	420.79044	583.9314	72.131294	690.04297	481.65213	113.90909	114.0	110000	208.49623	102.89685	360.2321	-29.735249	208.49628	102.89804	360.59937	-24.581207	210.02853	102.5331	358.17297	-26.716103	-4.731541	4.458168	34.3469	-18.148357	11.764915	11.642924	14.158751	525.6156919002533
23	1.2	0.2	577.2032	115.07078	862.51764	373.39114	716.18536	119.80504	931.1968	542.27924	112.84091	140.0	115000	209.93317	103.773636	362.74796	-28.548903	209.93294	103.77477	364.7246	-33.811787	211.43948	103.421936	361.24258	-34.958538	-4.682133	4.483074	35.315582	-17.036564	11.623968	11.574472	13.900198	550.4359130859375
24	1.2	0.2	602.0017	129.67018	945.6791	395.2601	712.637	108.69609	987.35944	596.71515	117.790695	146.1	120000	211.37679	103.93253	363.40192	-25.481638	211.37642	103.93288	363.83176	-46.901443	212.85492	103.55994	362.64862	-44.849514	-4.702829	4.4417562	31.039906	-16.742548	11.442783	11.366525	13.620268	576.0064432621002
25	1.2	0.2	590.82166	113.982475	829.1018	413.4756	567.4006	92.27687	705.4833	435.39	114.72093	119.3	125000	212.7586	104.298164	366.23907	-23.660986	212.75848	104.29938	370.27216	-29.600534	214.19235	103.923065	365.70795	-35.00966	-4.656908	4.415854	44.655884	-20.153118	11.364346	11.255304	13.284659	600.5345742702484
26	1.2	0.2	588.7578	109.43036	886.0951	428.6832	578.04034	91.6061	733.8103	408.6482	114.83721	117.8	130000	213.61827	104.52912	366.79922	-33.694355	213.61816	104.52941	368.96326	-52.617435	214.99721	104.15539	365.50858	-36.08638	-4.791287	4.4295855	37.44649	-17.277147	11.090264	10.970089	12.837847	625.1540222167969
27	1.2	0.2	587.4885	118.50203	913.13727	393.59125	643.46826	130.4708	894.1213	497.80743	113.022224	124.3	135000	213.96494	104.165016	366.954	-45.91892	213.96533	104.16597	366.77866	-40.070667	215.33774	103.767456	363.66663	-39.00378	-4.9916587	4.4186225	33.230053	-17.421108	10.768749	10.647552	12.37147	650.4973242282867
28	1.2	0.2	588.73224	118.55112	997.25635	403.3795	755.48834	222.16098	1249.2634	451.9774	113.795456	149.8	140000	216.05492	104.04003	365.2536	-34.929363	216.0547	104.03992	366.2113	-36.567356	217.39305	103.651054	364.18573	-25.457691	-5.0468307	4.3468385	38.847374	-16.675	10.49864	10.48158	12.071452	675.731682062149
29	1.2	0.2	538.08057	117.35526	904.8752	360.64633	577.44604	58.16215	668.2717	438.71976	104.770836	107.6	145000	217.3673	104.64267	365.89545	-29.879663	217.36725	104.64357	367.74106	-76.489685	218.69046	104.25842	365.31876	-30.859274	-5.05612	4.3119855	44.757828	-17.128965	10.392332	10.3274555	11.832646	700.8149218559265
30	1.2	0.2	596.5662	120.049965	1105.5938	412.20728	576.18567	43.317993	655.5471	522.3187	114.325584	107.7	150000	218.60635	105.465454	368.98547	-29.413103	218.6066	105.465515	368.95694	-26.403276	219.89871	105.08551	368.2867	-34.108868	-5.0119553	4.3338094	35.179115	-17.043585	10.542798	10.441915	11.688449	725.4890501499176
31	1.2	0.2	553.9272	103.652054	905.2236	359.2305	545.871	38.09293	604.51776	484.65292	106.21277	101.7	155000	219.50519	105.88366	372.31586	-51.545296	219.50507	105.8832	370.41968	-80.48989	220.78577	105.51375	369.14777	-44.48896	-4.9863167	4.2959943	65.59256	-17.140602	10.484229	10.430867	11.6459055	750.2280631065369
32	1.2	0.2	631.11017	117.85817	930.8578	374.08252	603.0326	88.256516	689.4891	443.5546	123.70731	116.5	160000	220.34561	106.20299	372.00397	-29.566616	220.34595	106.20301	370.84183	-30.674366	221.63701	105.84916	369.8425	-31.377043	-5.028449	4.328706	35.70971	-19.382286	10.602684	10.621976	11.555278	775.4721877574921
33	1.2	0.2	633.11597	128.24152	909.46893	409.51987	792.21625	98.44704	940.2266	590.4315	123.55	155.7	165000	221.16824	106.301254	372.85162	-24.078548	221.16837	106.301476	371.78622	-32.4114	222.43594	105.93514	371.84576	-34.593056	-5.005959	4.2777777	40.50859	-17.5546	10.855649	10.86013	11.645205	800.8114507198334
34	1.2	0.2	627.30493	184.38387	1136.9884	376.1674	664.6666	125.13281	848.3392	460.7776	123.975	136.3	170000	222.03896	106.37533	372.46457	-32.459488	222.0385	106.37438	373.37778	-32.399193	223.27896	106.01571	371.36273	-27.689146	-4.9475484	4.2429194	54.092472	-17.834806	10.862475	10.888754	11.724304	825.8689646720886
35	1.2	0.2	653.83997	154.66565	1166.6674	461.1947	678.4376	86.21935	864.6846	572.82855	127.05	128.0	175000	222.68661	106.68495	372.7336	-39.084286	222.68661	106.684044	373.44403	-20.602692	223.8987	106.31521	374.17123	-31.818808	-5.065198	4.244649	30.028624	-17.818539	11.011167	11.049696	11.827523	851.3519563674927
36	1.2	0.2	721.215	165.76607	1069.4838	458.86346	752.2187	77.7568	885.29504	626.77484	140.0	143.8	180000	223.87534	106.98319	375.15884	-36.495018	223.87515	106.98267	376.43417	-40.730343	225.09468	106.64252	373.85446	-30.081831	-4.9325542	4.2423925	38.24241	-16.996023	10.971405	11.07802	11.588	876.8104290962219
37	1.2	0.2	669.3421	150.68619	1158.3987	405.0913	649.1261	119.844246	906.50635	506.95142	130.21053	131.2	185000	225.59448	107.8566	376.74792	-26.779736	225.59505	107.85601	375.26028	-52.84369	226.79288	107.5022	375.6019	-45.788445	-4.901234	4.2458434	33.260403	-16.458723	11.187127	11.2149515	11.601262	902.0898668766022
