Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	0.14299458	0.05168581	0.31828073	0.05931948	17.88372	-0.0012569744	0.66372013	2.1917925	-2.563024	10000	-3.8146974e-09	1.237497	-0.06950131	-1.0877186	10.9878845	0.015566969	0.1945	21.0	32.6862313747406
1	0.13920635	0.05207547	0.3335881	0.06572796	18.467653	0.7354547	0.32537237	1.9594667	-0.2540172	20000	-7.581711e-09	0.19928947	-0.02083175	-0.078270026	11.03915	0.017548464	0.2594	6.0	64.49154543876648
2	0.13850522	0.04991183	0.32036465	0.0693907	19.522505	0.7641842	0.32290715	1.975205	-0.27263504	30000	2.6702882e-08	0.19314818	-0.021045217	-0.076284036	11.041958	0.019129679	0.2918	7.0	94.97713708877563
3	0.13478698	0.04632114	0.32393333	0.06558179	21.636364	0.80001724	0.32881343	2.0882778	-0.3865589	40000	-3.051758e-08	0.19749366	-0.022169294	-0.08420899	11.01984	0.020353338	0.2828	7.0	126.76214265823364
4	0.12507552	0.043122232	0.31284836	0.06682913	26.581333	0.8176186	0.34408748	2.1667619	-0.32310334	50000	-9.155274e-09	0.21356285	-0.020477375	-0.09769838	11.067639	0.017783107	0.2709	7.0	159.15583992004395
5	0.12483029	0.040220253	0.30085158	0.063860334	27.818941	0.9122738	0.3590076	2.4272397	-0.44600677	60000	-9.155274e-09	0.23468772	-0.020014437	-0.11460722	11.024191	0.01724477	0.2655	7.0	192.16006088256836
6	0.12554231	0.04114052	0.32923254	0.06505596	30.096386	0.9306804	0.35727298	2.2651377	-0.30128258	70000	-8.5830685e-09	0.25745806	-0.01868104	-0.13564862	11.013189	0.019706076	0.2544	6.0	224.15120887756348
7	0.12124191	0.03476911	0.29369488	0.07199282	33.226665	0.98266095	0.39788297	2.619392	-0.49890485	80000	3.4332274e-08	0.25926894	-0.11599747	-0.12324017	10.9900465	0.015189883	0.4241	88.0	263.7553789615631
8	0.11900051	0.036884636	0.32075492	0.06997108	34.53633	0.997906	0.4180124	2.7101855	-0.7900207	90000	-2.746582e-08	0.26261202	-0.11591902	-0.14864314	10.978492	0.01510819	0.4288	78.0	299.9949049949646
9	0.118554786	0.034793045	0.24343947	0.06362322	34.825176	1.0193038	0.40301788	2.5949936	-0.4142226	100000	-1.525879e-08	0.25101542	-0.1039078	-0.09168181	10.976254	0.015132245	0.3686	52.0	334.26786255836487
10	0.11889442	0.03217696	0.30789652	0.07018015	35.55872	1.0267847	0.4715842	2.8225527	-0.47566152	110000	1.8310548e-08	0.32269365	-0.022814205	-0.21320902	10.942845	0.015958548	0.2391	7.0	367.8394286632538
11	0.123344555	0.03245286	0.26530918	0.073622815	34.72222	1.0911236	0.4205137	2.5164294	-0.47604194	120000	1.8310548e-08	0.28083482	-0.019284528	-0.15006165	11.01215	0.018141743	0.2517	6.0	399.27426624298096
12	0.11918561	0.027109588	0.235389	0.07264003	39.95181	1.0695295	0.44741246	2.588569	-0.9463066	130000	2.4414062e-08	0.303259	-0.10126201	-0.14894111	10.97647	0.015072702	0.3644	52.0	433.82935905456543
