Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	0.71392477	0.045015894	0.7945823	0.5331329	12.227545	3.1063516	4.7683716e-07	3.1063511	3.1063511	114688	0.11912634	10.182647	-0.00023011118	-0.29984093	16.293509	0.028837675	0.20784314	0.0	171.23295760154724
28	0.71214545	0.045639273	0.7888211	0.5418056	12.372727	3.189855	2.3841858e-07	3.1898553	3.1898553	118784	0.12239874	10.801288	-0.04465875	-0.2308588	16.396643	0.01606738	0.18431373	15.0	175.90880823135376
29	0.7157287	0.047516804	0.79565	0.531298	12.73125	3.2637084	4.7683716e-07	3.2637088	3.2637088	122880	0.045606393	10.838585	-0.00041564586	-0.2859335	16.642952	0.032624103	0.1764706	0.0	180.28189182281494
30	0.7146788	0.04453378	0.7905217	0.5514064	12.164179	3.3409133	2.3841858e-07	3.3409135	3.3409135	126976	0.003900554	10.71764	-0.031356208	-0.30930233	16.603819	0.0062843286	0.18431373	15.0	185.01105499267578
31	0.7151287	0.046488225	0.7806786	0.5279554	12.752351	3.423664	7.1525574e-07	3.4236634	3.4236634	131072	0.01202586	10.898862	-0.0002579866	-0.30011114	16.585161	0.017598877	0.101960786	0.0	189.40322613716125
32	0.7158474	0.046340756	0.79585713	0.5143802	12.798742	3.5069847	7.1525574e-07	3.5069854	3.5069854	135168	0.030877203	9.436578	-0.000533985	-0.24130695	16.420128	0.015746614	0.10980392	0.0	193.77120685577393
33	0.7191392	0.043042522	0.79434603	0.5364378	12.715625	3.5844598	0.0	3.5844598	3.5844598	139264	0.078935936	10.047115	-0.0149658965	-0.22549915	16.429247	0.015612326	0.15294118	8.0	198.3013436794281
34	0.7150377	0.042851076	0.78574514	0.52245307	12.553846	3.6580544	0.0	3.6580544	3.6580544	143360	0.020667763	9.907568	-0.043535452	-0.18735091	16.55015	0.01600506	0.1764706	14.0	202.91445446014404
35	0.71089226	0.046834614	0.78673375	0.5208091	12.307229	3.727013	2.3841858e-07	3.7270129	3.7270129	147456	-0.039397668	10.251492	-0.020706808	-0.22447746	16.32335	0.015610602	0.12941177	9.0	207.64731454849243
36	0.7141356	0.0484825	0.7874541	0.5240712	12.849056	3.7989733	4.7683716e-07	3.7989738	3.7989738	151552	0.017702172	10.955274	-0.02707705	-0.23759365	16.420927	0.0073060277	0.14901961	15.0	212.3036322593689
37	0.7162218	0.044466946	0.78283054	0.53004843	13.044871	3.875065	7.1525574e-07	3.8750658	3.8750658	155648	0.040753204	9.548045	-0.015575548	-0.20413828	16.653994	0.01565272	0.15686275	9.0	216.91062998771667
38	0.7128365	0.04501879	0.7901138	0.5550637	12.635514	3.9482858	2.3841858e-07	3.9482856	3.9482856	159744	-0.16473232	11.261368	-0.00052666786	-0.2967688	16.40095	0.018465465	0.12941177	0.0	221.31870651245117
39	0.7143576	0.045308974	0.79991347	0.5398657	12.987261	4.030658	4.7683716e-07	4.0306573	4.0306573	163840	0.0149205355	9.648919	-0.03500052	-0.19059594	16.460176	0.012588064	0.16078432	15.0	226.01793098449707
40	0.7161211	0.05012061	0.80458885	0.53420544	12.271085	4.1062284	9.536743e-07	4.1062293	4.1062293	167936	-0.032630686	9.010898	-0.041511085	-0.15503772	16.1629	0.00020167402	0.21568628	15.0	230.8994071483612
41	0.71071935	0.048401184	0.78305304	0.5215357	12.213856	4.171623	4.7683716e-07	4.1716228	4.1716228	172032	-0.030078651	9.0069	-0.027986124	-0.15960948	16.440474	0.011197594	0.1882353	15.0	235.5794804096222
42	0.7143958	0.04623568	0.78789574	0.52919424	12.27027	4.236221	4.7683716e-07	4.2362204	4.2362204	176128	0.024940105	7.9925284	-0.00073118694	-0.10193332	16.694197	0.021919096	0.22352941	0.0	239.94451117515564
43	0.71336824	0.04654597	0.7900238	0.54890066	12.133928	4.2925296	9.536743e-07	4.2925286	4.2925286	180224	0.035802927	8.569572	-0.000396356	-0.09324169	16.283419	0.01703967	0.23921569	0.0	244.33068561553955
44	0.71276104	0.046749096	0.784367	0.543925	13.116505	4.3434067	0.0	4.3434067	4.3434067	184320	-0.052235257	8.266906	-0.038052727	-0.09463549	16.336111	0.014881521	0.22352941	15.0	249.14246702194214
45	0.71537143	0.04530812	0.7955588	0.5465747	12.558642	4.39439	4.7683716e-07	4.3943906	4.3943906	188416	0.046489194	8.902678	-0.0003297644	-0.09033998	16.435747	0.025126228	0.1882353	0.0	253.6128010749817
46	0.7138768	0.04992249	0.79537475	0.5294589	12.713396	4.4450517	4.7683716e-07	4.445051	4.445051	192512	-0.0532321	8.791893	-0.03698187	-0.1114769	16.748346	0.014001652	0.21568628	15.0	258.53632068634033
47	0.7124303	0.045300342	0.78538555	0.540127	12.40303	4.4996443	0.0	4.4996443	4.4996443	196608	-0.1319953	9.176509	-0.0003578638	-0.13490057	16.577177	0.028890826	0.20392157	0.0	262.932030916214
48	0.7187166	0.04355545	0.7973377	0.56516343	13.035256	4.5603747	0.0	4.5603747	4.5603747	200704	-0.011239506	8.745609	-0.021353917	-0.07304653	16.556717	0.015581763	0.21568628	11.0	267.4968755245209
49	0.71171594	0.050468616	0.7875142	0.54386854	12.01475	4.611688	0.0	4.611688	4.611688	204800	0.048618253	7.6235867	-0.00052152574	-0.035232544	16.604658	0.028346136	0.19607843	0.0	272.0189793109894
50	0.71369946	0.04439937	0.78775525	0.54507583	12.614907	4.6480985	4.7683716e-07	4.648099	4.648099	208896	0.06509305	6.8742766	-0.00031013103	-0.019527754	16.55667	0.024923183	0.20392157	0.0	276.57085251808167
51	0.7147243	0.044768095	0.789696	0.5480607	13.038339	4.6746554	0.0	4.6746554	4.6746554	212992	-0.0743216	8.572837	-0.035837438	-0.053051632	16.428337	0.009494243	0.16862746	15.0	281.2949163913727
52	0.7138433	0.044527203	0.7945031	0.54138994	12.42378	4.7102466	4.7683716e-07	4.710246	4.710246	217088	0.015295275	8.08203	-0.02993307	-0.043762684	16.559336	0.006758768	0.14509805	15.0	285.9901773929596
53	0.71663177	0.042222727	0.79098964	0.5502738	13.064516	4.7484527	4.7683716e-07	4.748453	4.748453	221184	0.084326096	7.5302625	-0.0006843377	-0.017305216	16.605875	0.02218488	0.14509805	0.0	290.3566131591797
54	0.7190168	0.043436073	0.7967041	0.53465056	13.193548	4.7758904	4.7683716e-07	4.775891	4.775891	225280	0.030680073	7.394201	-0.00026755407	-0.028909842	16.507132	0.020486714	0.16470589	0.0	294.9117171764374
55	0.71409917	0.04790074	0.80887014	0.53738403	13.086817	4.804028	4.7683716e-07	4.8040285	4.8040285	229376	0.05315825	8.063455	-0.03251816	-0.022151152	16.216751	0.0037532693	0.19215687	15.0	299.65218019485474
56	0.7151402	0.04488743	0.78789216	0.5201797	12.4526	4.831975	0.0	4.831975	4.831975	233472	0.065282375	6.5596375	-0.0005720388	-0.0042230287	16.446146	0.016065182	0.14117648	0.0	304.0598454475403
57	0.7176223	0.044612296	0.7863297	0.5522869	12.772871	4.84859	4.7683716e-07	4.8485894	4.8485894	237568	0.095009886	7.4337687	-0.00025047114	-0.0035735767	16.537489	0.02407332	0.20784314	0.0	308.4921455383301
58	0.71192497	0.048120573	0.8113669	0.55370116	12.936306	4.8596764	9.536743e-07	4.8596773	4.8596773	241664	-0.002788951	6.8420677	-0.037113	-0.009226958	16.35305	0.0059323474	0.1882353	15.0	313.29163646698
59	0.71228135	0.047764745	0.78601325	0.5293326	12.532308	4.875334	0.0	4.875334	4.875334	245760	0.05306636	6.90161	-0.00034569204	-0.0059312186	16.32125	0.023890978	0.16470589	0.0	317.63541078567505
60	0.71120155	0.04915831	0.79828763	0.5101277	12.432927	4.890715	4.7683716e-07	4.8907146	4.8907146	249856	-0.036773555	7.2379646	-0.00062553334	-0.018403053	16.662874	0.021663085	0.18431373	0.0	322.33782958984375
61	0.7182463	0.045949336	0.80211425	0.53846633	13.148387	4.9127107	4.7683716e-07	4.91271	4.91271	253952	0.06217501	7.6461625	-0.022825874	-0.009049892	16.407652	0.015524857	0.15294118	8.0	326.88979387283325
62	0.7164142	0.04365928	0.79325986	0.5491906	12.637771	4.933033	9.536743e-07	4.933032	4.933032	258048	0.10322288	7.859239	-0.00072867126	-0.00254488	16.41413	0.016503187	0.18431373	0.0	331.13766384124756
63	0.716229	0.047143742	0.8027474	0.49809065	12.249249	4.945042	0.0	4.945042	4.945042	262144	-0.046666313	7.6193695	-0.0012185412	-0.015442689	16.260855	0.04326651	0.2	0.0	335.3632242679596
64	0.71247655	0.045293365	0.78459466	0.53246206	12.544616	4.9645805	0.0	4.9645805	4.9645805	266240	-0.047304004	7.5256195	-0.00031826893	-0.022617498	16.655632	0.031173795	0.15294118	0.0	339.5427451133728
