Epoch	EntIndex	EntCoeff	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossQ1	LossQ2	LossV	Time
1	1.2	0.2	118.46453	32.70356	224.76878	78.37325	260.90146	5.735577	267.13852	250.42593	23.533018	46.9	5000	-9.016015	66.23753	112.98859	-165.59431	-9.01365	66.2374	113.11142	-164.12001	-12.21511	73.98	114.35904	-193.3778	35.45787	155.56337	17844.562	-16.938452	7.678825	7.7605762	391.73428	20.692381620407104
2	1.2	0.2	121.132	35.087887	254.31995	78.361885	253.64322	7.6198654	265.7001	242.71684	24.096153	45.9	10000	159.84949	80.6894	361.68066	-104.13103	159.84894	80.699486	362.0742	-75.85738	172.35298	79.44604	363.1519	-73.36249	4.246029	6.1473827	41.779396	-16.454	11.929557	11.974884	28.169493	40.774187088012695
3	1.2	0.2	290.42548	68.31984	527.5062	147.03252	280.62787	11.667305	304.15076	261.75027	55.255554	53.9	15000	302.41428	119.93523	452.37454	-105.54792	302.41217	119.95477	449.7816	-119.33184	316.85165	109.846504	452.59058	-124.42094	3.6884243	8.509927	41.273468	-16.687586	58.110847	57.54157	80.169136	64.3448703289032
4	1.2	0.2	371.37305	63.320797	529.1099	278.80225	269.9938	10.690303	284.51398	253.46336	72.57971	49.5	20000	286.29648	128.37096	441.3414	-128.243	286.29193	128.38585	443.4576	-128.22415	294.67834	122.466866	440.8766	-147.51704	0.39953554	8.777759	48.50056	-17.752098	35.208622	34.697136	56.37319	87.8420398235321
5	1.2	0.2	379.8469	89.87507	649.45135	208.68242	393.374	30.857933	455.1724	352.41132	73.632355	76.2	25000	238.97672	129.89882	431.9537	-92.78101	238.97505	129.91333	431.6499	-108.23816	244.53072	127.85059	429.16574	-132.44153	0.023546048	6.817517	103.17802	-18.3215	32.83709	31.657286	50.96027	111.53875017166138
6	1.2	0.2	413.905	84.53118	636.45233	283.79587	338.77158	19.282366	368.39218	303.2931	84.93104	74.5	30000	200.93634	115.8462	395.7879	-66.9912	200.93434	115.85468	391.8255	-69.12063	205.09062	115.025055	387.7108	-77.80901	-0.9327929	6.098863	109.263725	-17.277113	28.517504	27.833645	42.549538	135.01525449752808
7	1.2	0.2	446.2244	117.66065	832.057	232.12605	465.8422	88.01692	574.3352	316.57663	90.0	99.4	35000	183.53131	102.226715	356.17862	-65.26461	183.5331	102.22693	354.8205	-48.924175	186.92186	101.67743	345.25516	-77.41009	-2.840804	5.1021214	71.99204	-17.909878	21.477436	21.287191	31.891117	158.81563019752502
8	1.2	0.2	431.87762	103.332275	704.14124	255.32195	396.68643	66.88031	524.1259	328.0437	88.57895	87.3	40000	177.86838	96.814995	329.5535	-32.451836	177.86774	96.81605	328.53574	-30.256138	180.78098	96.384224	327.09457	-47.09475	-4.037528	4.744596	51.504944	-16.844841	16.047203	15.91356	24.440382	182.80324006080627
9	1.2	0.2	488.30234	116.93523	951.05133	310.1332	462.62125	43.169197	523.64075	403.66696	97.666664	87.6	45000	177.97382	95.08487	329.51993	-28.640945	177.97348	95.08939	331.54465	-22.953075	180.78003	94.83016	328.18158	-23.954657	-3.9214303	4.4947886	83.848656	-17.732924	13.815804	13.686252	21.002188	206.69541788101196
10	1.2	0.2	513.9808	104.159706	868.26807	381.78656	419.45752	18.169476	463.5234	398.3328	99.94	78.7	50000	182.95018	96.676956	339.39014	-23.236933	182.95012	96.67973	336.18576	-21.352312	185.68552	96.45929	335.0519	-27.186966	-3.8079011	4.4329596	34.389343	-16.956686	12.779671	12.567145	19.32389	230.56521081924438
11	1.2	0.2	531.24347	130.31238	987.7213	364.11523	503.5191	45.58778	580.73846	440.93042	103.916664	99.5	55000	188.02864	98.31396	341.9726	-26.413893	188.0288	98.31489	344.8376	-19.848192	190.60114	98.10455	340.66287	-20.450294	-3.9293768	4.384715	80.74657	-16.9905	11.867459	11.791119	18.18754	254.65146017074585
12	1.2	0.2	537.39764	120.52908	840.6252	304.07874	589.5423	64.782715	685.0886	484.45456	105.270836	114.7	60000	191.1056	99.00677	347.00333	-28.265038	191.10635	99.00769	344.8751	-32.155518	193.50961	98.73389	346.3505	-22.208424	-4.2164793	4.3296146	24.710342	-17.186495	11.623643	11.556066	17.51051	279.2435986995697
13	1.2	0.2	544.84174	141.1414	1046.311	356.81085	556.7938	66.779495	708.2911	464.11765	108.45652	103.0	65000	193.44301	99.60096	347.4756	-23.802711	193.44328	99.60139	348.31516	-22.731573	195.68301	99.32032	346.6783	-39.48133	-4.5284967	4.2679443	34.313137	-18.10059	11.820269	11.680408	17.41872	303.3242554664612
14	1.2	0.2	589.7277	131.04227	872.2968	346.60406	564.24677	71.00631	701.5676	449.87616	115.674416	112.2	70000	194.89264	100.24197	348.97208	-35.82846	194.89223	100.244156	352.29675	-23.557812	196.96819	99.988014	348.15213	-31.279362	-4.650929	4.1994724	29.152548	-16.828505	11.773911	11.662106	16.77849	327.6206955909729
15	1.2	0.2	541.81335	125.92017	976.35034	364.13666	474.61505	32.614162	503.22986	406.129	106.893616	89.1	75000	197.13501	100.63145	356.37256	-25.60474	197.13586	100.63118	358.03864	-41.354122	199.17229	100.38326	356.37875	-43.09313	-4.688026	4.1038227	67.80301	-16.972317	12.081066	12.072542	16.835909	352.0557141304016
16	1.2	0.2	571.0807	139.44493	1132.1603	405.19986	718.1242	227.33939	1357.5032	482.98013	114.36364	142.8	80000	199.37581	101.21916	356.8328	-23.61085	199.37569	101.219666	355.82227	-26.877405	201.33276	100.968056	354.89545	-30.202	-4.7374487	4.133335	30.565924	-17.423878	12.146129	12.038439	16.407984	376.95054364204407
17	1.2	0.2	539.74005	111.79518	861.5598	352.9301	642.8694	100.53731	774.52014	471.38608	108.565216	130.9	85000	201.7905	102.06911	360.26935	-26.366308	201.79102	102.070984	358.9253	-22.873013	203.6789	101.81443	359.75012	-31.81857	-4.824211	4.102695	42.740192	-17.453526	12.3119335	12.214733	16.321802	401.59102153778076
18	1.2	0.2	571.5006	137.05487	933.25684	351.42303	572.2812	90.59203	738.93353	467.11386	114.75	109.8	90000	203.6046	102.60991	361.265	-21.441465	203.60527	102.611824	361.75134	-18.299181	205.44725	102.35479	359.27298	-43.84473	-4.7617006	4.0384927	65.605705	-16.890022	12.278998	12.122746	15.855179	426.2346625328064
19	1.2	0.2	561.62494	127.164665	970.65686	364.81976	568.77893	144.36803	820.8075	362.65274	111.818184	113.5	95000	205.25728	102.51255	364.2071	-17.409468	205.2563	102.51516	362.62183	-38.004017	207.00099	102.24813	361.4877	-58.722897	-4.8683147	4.0958366	64.29721	-17.810179	12.348702	12.207157	15.8216305	450.5032448768616
20	1.2	0.2	563.6775	130.31627	1032.4205	369.05084	704.2146	103.64676	942.5689	566.4955	111.755554	140.9	100000	206.188	103.09737	364.5477	-51.31785	206.18863	103.098404	364.132	-25.462614	207.85631	102.84059	362.07013	-57.806087	-5.0580034	4.031269	88.89072	-17.79742	12.2748	12.134081	15.552795	475.42074155807495
21	1.2	0.2	553.0573	131.75513	909.02856	341.08334	639.4465	132.9361	936.7407	518.6035	112.068184	126.2	105000	206.66289	102.94818	363.3211	-19.494568	206.66266	102.950584	364.33673	-30.528826	208.24588	102.663925	362.32166	-30.128235	-5.111256	4.0182486	40.552017	-17.312336	12.0341015	11.813465	14.886239	500.0921266078949
22	1.2	0.2	594.45294	173.36989	1065.3331	325.3806	660.61316	63.01522	736.016	532.9717	119.59524	125.5	110000	207.43199	102.69299	364.41324	-34.422256	207.43265	102.69517	362.9563	-29.803251	208.95586	102.40964	361.60403	-37.6026	-5.137953	4.0369544	56.35492	-18.321459	11.957664	11.66674	14.546436	525.1435623168945
23	1.2	0.2	545.63	113.43826	941.78564	381.60703	646.9088	88.189255	836.6694	550.8209	106.80851	128.3	115000	207.80565	102.70107	363.76602	-18.556068	207.80554	102.70341	362.43933	-32.01427	209.304	102.403015	362.46313	-27.398947	-5.356748	4.0030417	73.0769	-17.702822	11.747339	11.587809	14.161625	550.0351777076721
24	1.2	0.2	602.54504	183.70386	1136.2588	308.57724	612.365	93.291794	805.18945	526.0182	119.52381	117.6	120000	209.42543	102.64183	363.76834	-20.630371	209.42549	102.64365	365.31616	-23.386084	210.88718	102.34473	363.56976	-23.554443	-5.398403	3.9442391	61.622482	-17.199327	11.535187	11.371495	13.715949	574.9301204681396
25	1.2	0.2	598.1874	146.33784	1091.5088	363.53934	631.13586	78.105774	747.5826	494.06793	118.21429	122.6	125000	211.12701	103.309425	362.2047	-22.964523	211.12685	103.31202	362.95316	-18.701614	212.51408	102.994156	362.63293	-22.147295	-5.522168	3.930909	49.59587	-17.782364	11.697336	11.428144	13.629919	599.7038650512695
26	1.2	0.2	657.935	200.88503	1243.1456	356.93304	667.8947	156.1177	984.9787	461.05646	131.76315	136.8	130000	212.64803	104.37856	365.2544	-32.16921	212.64876	104.38046	365.72186	-19.479856	214.00433	104.09181	364.1857	-25.381834	-5.378335	4.014861	67.083305	-16.770014	11.874799	11.730278	13.753763	624.9739637374878
27	1.2	0.2	651.7875	215.59543	1401.741	415.06802	672.89374	199.67317	1068.3317	502.7812	128.97437	128.1	135000	213.21237	104.52763	368.20654	-25.825377	213.2123	104.52887	365.3047	-38.482193	214.53648	104.22408	364.61826	-19.570507	-5.3290915	3.9505339	32.431942	-17.293924	11.921768	11.757969	13.567437	650.1262304782867
